timestamp,temperature_C,pressure_hPa,humidity_%,light_lux,ambient_IR_K,skin_temperature_C,core_temperature_C,CCT_K,Heart Rate (bpm),rms,noise_level,Emotion Detection,Eye Detection,X,Y,Speed,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,nose_z,shoulder_diff,head_forward,posture,bad_posture_streak,depth_change,movement_status,Emotion Detection,Pitch (Hz),Jitter,Shimmer,Voice State,WPM,Avg Sentence Length,Stutters,Clarity,Task Timestamp
2025-08-13 13:51:23,23.66,995.47,57.59,119.07,299,27.47,27.97,3375.35,100,0.001086,Low,fear,CENTER,2540,941,250,0.7103135586,0.7822137475,0.1362044513,0.6309645772,0.2401838303,0.440635711,-0.8532580137,0.1512491703,-0.1830751747,Bad - Slouching,542,0.002780020237,Prolonged Bad Posture,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:24,23.66,995.47,57.67,119.07,298.98,27.53,28.03,3375.35,100,0.000954,Low,fear,CENTER,2540,941,0,0.7093795538,0.7782037258,0.1390352398,0.6294973493,0.2409058809,0.4407316744,-0.8500270844,0.1487063766,-0.1833015159,Bad - Slouching,543,0.004755747318,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:25,23.66,995.49,57.78,119.07,298.98,27.49,27.99,3375.35,100,0.000615,Low,fear,CENTER,2541,941,250,0.7095173597,0.7782290578,0.1382902563,0.6301220655,0.2411742508,0.4389156699,-0.8507434726,0.1481069922,-0.1827295572,Bad - Slouching,544,0.004386985302,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:26,23.66,995.46,57.62,119.07,299,27.59,28.09,3352.2,100,0.001604,Low,neutral,CENTER,2542,941,250,0.7096021771,0.7782557607,0.1394613981,0.6297262907,0.2415914237,0.4365642667,-0.8513399363,0.14852947,-0.1829403639,Bad - Slouching,545,0.0001919031143,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:28,23.66,995.48,57.78,119.07,298.98,27.47,27.97,3368.94,100,0.001328,Low,fear,CENTER,2543,941,250,0.7096081376,0.7784465551,0.1405324787,0.6278392076,0.2422434092,0.4343537986,-0.8549114466,0.1506073475,-0.182826899,Bad - Slouching,546,0.0006039500237,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:29,23.67,995.46,57.68,119.07,298.92,27.47,27.97,3375.35,100,0.001332,Low,fear,CENTER,2545,941,500,0.7101273537,0.7791541219,0.1404590905,0.6275748014,0.2437592298,0.4340111613,-0.8586985469,0.1515793204,-0.1815339923,Bad - Slouching,547,0.001088106632,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:30,23.66,995.43,58.82,119.07,299,27.53,28.03,3375.35,100,0.001561,Low,neutral,CENTER,2547,941,500,0.7101556659,0.7791903615,0.1404515654,0.6278797388,0.2446884364,0.4339736402,-0.8569488525,0.1513106227,-0.1806151792,Bad - Slouching,548,0.001384353638,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:31,23.67,995.46,57.55,119.07,298.94,27.29,27.79,3352.2,100,0.00085,Low,fear,RIGHT,2548,941,333.3333333,0.710147202,0.7792218924,0.1411135793,0.6278823614,0.2448192388,0.4339390695,-0.8469150662,0.1513395309,-0.1808111519,Bad - Slouching,549,0.0007656812668,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:33,23.66,995.46,57.94,119.07,298.98,27.47,27.97,3352.2,100,0.000774,Low,neutral,CENTER,2551,941,750,0.7101868391,0.7791461945,0.1413275301,0.6271440983,0.2454819381,0.4338523448,-0.8472855687,0.1520020962,-0.1802752465,Bad - Slouching,550,0.0008108735085,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,Began Step 1
2025-08-13 13:51:34,23.66,995.49,58.86,119.07,298.98,27.55,28.05,3375.35,100,0.001066,Low,fear,CENTER,2553,941,500,0.7110167742,0.7798984051,0.1400815696,0.6271657944,0.2453149855,0.4328858256,-0.8698589206,0.1527326107,-0.1802341864,Bad - Slouching,551,0.002989494801,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:35,23.67,995.49,58.04,119.07,299,27.55,28.05,3375.35,100,0.000718,Low,fear,CENTER,2557,941,800,0.7117782235,0.7801915407,0.1400163174,0.6267067194,0.2441556901,0.4299606979,-0.8835777044,0.1534848213,-0.1817415804,Bad - Slouching,552,0.004975831509,Prolonged Bad Posture,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:37,23.67,995.51,57.27,119.07,298.94,27.55,28.05,3368.94,100,0.001363,Low,fear,CENTER,2561,941,1000,0.7115524411,0.7802193761,0.1401621401,0.6264846325,0.2441622764,0.427747637,-0.8830070496,0.1537347436,-0.1816950142,Bad - Slouching,553,0.005211639404,Prolonged Bad Posture,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:38,23.68,995.47,57.73,119.07,298.98,27.55,28.05,3352.2,100,0.001143,Low,fear,CENTER,2564,941,750,0.7111017108,0.7804362774,0.1404954642,0.6246086955,0.2447438687,0.425870806,-0.8869922757,0.1558275819,-0.1810547188,Bad - Slouching,554,0.008015441895,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:39,23.67,995.46,57.83,119.07,298.94,27.49,27.99,3368.94,100,0.00076,Low,fear,CENTER,2570,941,1500,0.7113731503,0.7872242332,0.1464173198,0.6221461892,0.2471388578,0.4232738912,-0.9175362587,0.1650780439,-0.1817563772,Bad - Slouching,555,0.014050138,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:40,23.68,995.47,57.73,119.07,298.98,27.59,28.09,3368.94,100,0.000702,Low,happy,LEFT,2574,941,1333.333333,0.7117623687,0.7874711752,0.1460955739,0.6195266247,0.2558370829,0.4177663028,-0.9661542177,0.1679445505,-0.1730918884,Bad - Slouching,556,0.01925905943,Prolonged Bad Posture,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:42,23.68,995.47,57.78,119.07,298.98,27.53,28.03,3375.35,100,0.000808,Low,fear,CENTER,2582,941,2000,0.711907208,0.787204206,0.1456927955,0.6124113798,0.2691964507,0.4178732038,-1.0027318,0.1747928262,-0.159603551,Bad - Slouching,557,0.02383081913,Prolonged Bad Posture,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:43,23.67,995.46,58.96,119.07,298.98,27.55,28.05,3352.2,100,0.000797,Low,fear,CENTER,2592,940,2512.468905,0.7119150758,0.780846417,0.1160709411,0.6353426576,0.397682935,0.4252289832,-1.446585417,0.1455037594,-0.01631007344,Bad - Slouching,558,0.1127156734,Significant Depth Movement,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:44,23.67,995.48,57.71,119.07,298.92,27.49,27.99,3368.94,100,0.001365,Low,fear,CENTER,2598,940,1500,0.7111529112,0.7527418137,0.09784241021,0.6716082096,0.4482877851,0.4266450703,-1.491214275,0.08113360405,0.04379012436,Bad - Slouching,559,0.1208443999,Significant Depth Movement,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:45,23.68,995.46,57.45,119.07,298.94,27.49,27.99,3375.35,100,0.000904,Low,neutral,CENTER,2610,940,3000,0.7128605247,0.7523214221,0.0959155038,0.6772086024,0.4644245505,0.4269745648,-1.628917098,0.07511281967,0.06003653631,Bad - Slouching,560,0.1422761679,Significant Depth Movement,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:47,23.67,995.47,57.48,119.07,298.94,27.59,28.09,3368.94,100,0.001291,Low,neutral,CENTER,2617,940,1750,0.717689395,0.7536628246,0.09848497063,0.6667636037,0.4890356958,0.4358183742,-1.727513075,0.08689922094,0.080948513,Bad - Slouching,561,0.1522717714,Significant Depth Movement,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:48,23.67,995.48,57.42,119.07,298.94,27.59,28.09,3352.2,100,0.001522,Low,neutral,CENTER,2630,939,3259.601203,0.7263948917,0.7532917261,0.1011113897,0.6649574041,0.5020897388,0.4382264316,-1.855222344,0.08833432198,0.08833659813,Bad - Slouching,562,0.1704981089,Significant Depth Movement,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:49,23.67,995.47,57.7,119.07,298.94,27.53,28.03,3375.35,100,0.001905,Low,neutral,CENTER,2645,939,3750,0.7369329333,0.7533675432,0.1067212597,0.6638405919,0.5064989328,0.4397210777,-2.081002712,0.08952695131,0.08467183635,Bad - Slouching,563,0.1268834591,Significant Depth Movement,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:50,23.66,995.49,57.5,119.07,298.94,27.47,27.97,3375.35,100,0.000603,Low,neutral,CENTER,2654,938,2263.846285,0.7421625853,0.7491770983,0.1141065806,0.6638408303,0.5172348022,0.4446150064,-1.959851623,0.08533626795,0.08910021931,Bad - Slouching,564,0.09372746944,Prolonged Bad Posture,non stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
2025-08-13 13:51:52,23.67,995.48,57.71,119.07,298.94,27.61,28.11,3352.2,100,0.00079,Low,neutral,CENTER,2669,936,3783.186488,0.7516444325,0.7492117286,0.1151423082,0.675673306,0.5291304588,0.4475155771,-2.224447966,0.07353842258,0.09573708847,Bad - Slouching,565,0.1191061735,Significant Depth Movement,high stress,27.5,0,0,Normal,0,0,0,Too slow - possible hesitation or mental fatigue,
