Emotion Detection,Time
high stress,11:46:07
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:09
high stress,11:46:10
non stress,11:46:10
high stress,11:46:10
high stress,11:46:10
non stress,11:46:10
non stress,11:46:10
high stress,11:46:10
high stress,11:46:10
non stress,11:46:10
non stress,11:46:10
high stress,11:46:10
non stress,11:46:10
non stress,11:46:10
high stress,11:46:11
non stress,11:46:11
high stress,11:46:11
non stress,11:46:11
non stress,11:46:11
high stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:11
non stress,11:46:12
non stress,11:46:12
non stress,11:46:12
non stress,11:46:12
non stress,11:46:12
non stress,11:46:12
high stress,11:46:13
non stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
non stress,11:46:13
high stress,11:46:13
high stress,11:46:13
high stress,11:46:13
non stress,11:46:13
non stress,11:46:13
high stress,11:46:14
non stress,11:46:14
non stress,11:46:14
non stress,11:46:14
non stress,11:46:14
high stress,11:46:14
high stress,11:46:14
non stress,11:46:14
non stress,11:46:14
high stress,11:46:14
non stress,11:46:15
high stress,11:46:15
non stress,11:46:15
non stress,11:46:15
high stress,11:46:15
high stress,11:46:15
high stress,11:46:15
high stress,11:46:15
high stress,11:46:15
high stress,11:46:15
non stress,11:46:15
high stress,11:46:16
non stress,11:46:16
high stress,11:46:16
high stress,11:46:16
high stress,11:46:16
high stress,11:46:16
high stress,11:46:16
non stress,11:46:16
non stress,11:46:16
non stress,11:46:16
high stress,11:46:16
non stress,11:46:16
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
high stress,11:46:17
non stress,11:46:17
non stress,11:46:17
high stress,11:46:17
high stress,11:46:17
non stress,11:46:17
high stress,11:46:18
non stress,11:46:18
high stress,11:46:18
high stress,11:46:18
high stress,11:46:18
high stress,11:46:18
high stress,11:46:18
non stress,11:46:18
high stress,11:46:18
non stress,11:46:18
high stress,11:46:18
high stress,11:46:18
