Emotion Detection,Time
non stress,13:18:10
non stress,13:18:11
non stress,13:18:12
non stress,13:18:13
non stress,13:18:13
non stress,13:18:13
non stress,13:18:13
non stress,13:18:14
non stress,13:18:14
non stress,13:18:14
non stress,13:18:14
non stress,13:18:15
non stress,13:18:16
non stress,13:18:16
non stress,13:18:16
non stress,13:18:17
non stress,13:18:17
non stress,13:18:17
non stress,13:18:17
non stress,13:18:17
non stress,13:18:17
non stress,13:18:17
non stress,13:18:17
non stress,13:18:18
non stress,13:18:18
non stress,13:18:18
non stress,13:18:18
non stress,13:18:18
non stress,13:18:18
non stress,13:18:18
non stress,13:18:18
non stress,13:18:18
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:19
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
non stress,13:18:20
high stress,13:18:20
high stress,13:18:20
high stress,13:18:20
non stress,13:18:20
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:21
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:22
non stress,13:18:23
non stress,13:18:23
non stress,13:18:23
non stress,13:18:23
non stress,13:18:24
high stress,13:18:25
non stress,13:18:25
non stress,13:18:25
high stress,13:18:25
non stress,13:18:26
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:27
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:28
non stress,13:18:29
non stress,13:18:29
non stress,13:18:29
non stress,13:18:29
non stress,13:18:29
non stress,13:18:29
non stress,13:18:29
non stress,13:18:29
high stress,13:18:29
high stress,13:18:29
high stress,13:18:29
non stress,13:18:29
high stress,13:18:29
high stress,13:18:29
non stress,13:18:29
high stress,13:18:30
non stress,13:18:30
high stress,13:18:30
non stress,13:18:30
non stress,13:18:30
non stress,13:18:30
high stress,13:18:30
high stress,13:18:30
high stress,13:18:30
high stress,13:18:30
non stress,13:18:30
non stress,13:18:30
non stress,13:18:30
non stress,13:18:31
non stress,13:18:31
non stress,13:18:31
non stress,13:18:31
non stress,13:18:31
non stress,13:18:31
high stress,13:18:31
high stress,13:18:31
high stress,13:18:31
high stress,13:18:31
non stress,13:18:31
non stress,13:18:32
high stress,13:18:32
high stress,13:18:32
high stress,13:18:32
high stress,13:18:32
non stress,13:18:32
non stress,13:18:32
high stress,13:18:32
non stress,13:18:32
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:33
non stress,13:18:34
non stress,13:18:34
high stress,13:18:34
high stress,13:18:34
high stress,13:18:34
high stress,13:18:34
high stress,13:18:34
high stress,13:18:34
non stress,13:18:34
high stress,13:18:34
high stress,13:18:34
non stress,13:18:34
non stress,13:18:35
high stress,13:18:35
non stress,13:18:35
high stress,13:18:35
non stress,13:18:35
non stress,13:18:35
high stress,13:18:35
non stress,13:18:35
non stress,13:18:35
non stress,13:18:35
non stress,13:18:35
non stress,13:18:35
non stress,13:18:35
non stress,13:18:35
non stress,13:18:36
high stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:36
high stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:36
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:37
non stress,13:18:38
non stress,13:18:38
non stress,13:18:38
non stress,13:18:38
non stress,13:18:38
non stress,13:18:38
non stress,13:18:38
non stress,13:18:38
