,Emotion Detection,Time
0,angry,2025-06-30 11:44:34.514543
1,neutral,2025-06-30 11:44:36.649744
2,neutral,2025-06-30 11:44:36.725391
3,neutral,2025-06-30 11:44:36.793454
4,neutral,2025-06-30 11:44:36.909619
5,sad,2025-06-30 11:44:36.909619
6,fear,2025-06-30 11:44:37.016657
7,neutral,2025-06-30 11:44:37.100435
8,fear,2025-06-30 11:44:37.100435
9,neutral,2025-06-30 11:44:37.209909
10,happy,2025-06-30 11:44:37.209909
11,sad,2025-06-30 11:44:37.311031
12,happy,2025-06-30 11:44:37.311031
13,fear,2025-06-30 11:44:37.426937
14,neutral,2025-06-30 11:44:37.874241
15,neutral,2025-06-30 11:44:38.019776
16,neutral,2025-06-30 11:44:38.104117
17,fear,2025-06-30 11:44:38.521320
18,happy,2025-06-30 11:44:38.610970
19,sad,2025-06-30 11:44:38.695392
20,fear,2025-06-30 11:44:38.695392
21,fear,2025-06-30 11:44:38.795357
22,happy,2025-06-30 11:44:38.875349
23,fear,2025-06-30 11:44:38.994685
24,happy,2025-06-30 11:44:39.110667
25,happy,2025-06-30 11:44:39.196844
26,fear,2025-06-30 11:44:39.358835
27,happy,2025-06-30 11:44:39.477817
28,happy,2025-06-30 11:44:39.630362
29,fear,2025-06-30 11:44:39.798085
30,fear,2025-06-30 11:44:39.882346
31,fear,2025-06-30 11:44:40.007180
32,fear,2025-06-30 11:44:40.099035
33,fear,2025-06-30 11:44:40.276974
34,fear,2025-06-30 11:44:40.375552
35,happy,2025-06-30 11:44:40.471513
36,fear,2025-06-30 11:44:40.579573
37,happy,2025-06-30 11:44:40.684647
38,happy,2025-06-30 11:44:40.864379
39,fear,2025-06-30 11:44:40.976933
40,happy,2025-06-30 11:44:41.057964
41,happy,2025-06-30 11:44:41.166520
42,sad,2025-06-30 11:44:41.256701
43,angry,2025-06-30 11:44:41.371731
44,neutral,2025-06-30 11:44:41.472093
45,fear,2025-06-30 11:44:41.472093
46,sad,2025-06-30 11:44:41.585435
47,sad,2025-06-30 11:44:41.585435
48,angry,2025-06-30 11:44:41.694015
49,fear,2025-06-30 11:44:41.694015
50,sad,2025-06-30 11:44:41.788935
51,sad,2025-06-30 11:44:41.858950
52,sad,2025-06-30 11:44:41.925438
53,angry,2025-06-30 11:44:42.033604
54,angry,2025-06-30 11:44:42.099915
55,angry,2025-06-30 11:44:42.207707
56,sad,2025-06-30 11:44:42.315689
57,sad,2025-06-30 11:44:42.376125
58,sad,2025-06-30 11:44:42.439744
59,happy,2025-06-30 11:44:42.439744
60,sad,2025-06-30 11:44:42.548111
61,sad,2025-06-30 11:44:42.548111
62,fear,2025-06-30 11:44:42.665702
63,sad,2025-06-30 11:44:42.665702
64,fear,2025-06-30 11:44:42.759469
65,sad,2025-06-30 11:44:42.759469
66,fear,2025-06-30 11:44:42.909718
67,sad,2025-06-30 11:44:42.909718
68,neutral,2025-06-30 11:44:43.009765
69,neutral,2025-06-30 11:44:43.086113
70,fear,2025-06-30 11:44:43.209895
71,fear,2025-06-30 11:44:43.272461
72,fear,2025-06-30 11:44:43.272461
73,fear,2025-06-30 11:44:43.357920
74,fear,2025-06-30 11:44:43.418149
75,fear,2025-06-30 11:44:43.493952
76,fear,2025-06-30 11:44:43.599271
77,sad,2025-06-30 11:44:43.706105
78,fear,2025-06-30 11:44:43.816782
79,fear,2025-06-30 11:44:43.930772
80,fear,2025-06-30 11:44:43.930772
81,angry,2025-06-30 11:44:44.075688
82,neutral,2025-06-30 11:44:45.326294
83,neutral,2025-06-30 11:44:45.463673
84,neutral,2025-06-30 11:44:45.539701
85,angry,2025-06-30 11:44:45.777134
86,neutral,2025-06-30 11:44:45.777134
87,neutral,2025-06-30 11:44:45.893861
88,sad,2025-06-30 11:44:45.893861
89,sad,2025-06-30 11:44:45.993432
90,sad,2025-06-30 11:44:46.229037
91,sad,2025-06-30 11:44:46.386524
92,angry,2025-06-30 11:44:46.741216
93,neutral,2025-06-30 11:44:46.924210
94,fear,2025-06-30 11:44:47.006529
95,neutral,2025-06-30 11:44:47.114780
96,sad,2025-06-30 11:44:47.244688
97,neutral,2025-06-30 11:44:47.244688
