,Emotion Detection,Time
0,neutral,2025-06-30 13:15:41.517742
1,angry,2025-06-30 13:15:42.706851
2,neutral,2025-06-30 13:15:42.846873
3,neutral,2025-06-30 13:15:42.973097
4,neutral,2025-06-30 13:15:43.082861
5,neutral,2025-06-30 13:15:43.176428
6,neutral,2025-06-30 13:15:43.269708
7,neutral,2025-06-30 13:15:43.349965
8,neutral,2025-06-30 13:15:43.443431
9,neutral,2025-06-30 13:15:43.537218
10,neutral,2025-06-30 13:15:43.630530
11,neutral,2025-06-30 13:15:43.725574
12,sad,2025-06-30 13:15:43.807110
13,neutral,2025-06-30 13:15:43.887863
14,neutral,2025-06-30 13:15:43.966556
15,neutral,2025-06-30 13:15:44.059988
16,neutral,2025-06-30 13:15:44.156832
17,neutral,2025-06-30 13:15:44.251541
18,neutral,2025-06-30 13:15:44.344988
19,neutral,2025-06-30 13:15:44.436495
20,neutral,2025-06-30 13:15:44.517277
21,neutral,2025-06-30 13:15:44.596337
22,neutral,2025-06-30 13:15:44.676469
23,neutral,2025-06-30 13:15:44.755143
24,neutral,2025-06-30 13:15:44.835326
25,neutral,2025-06-30 13:15:44.912315
26,neutral,2025-06-30 13:15:44.990660
27,neutral,2025-06-30 13:15:45.057510
28,neutral,2025-06-30 13:15:45.137646
29,neutral,2025-06-30 13:15:45.216321
30,neutral,2025-06-30 13:15:45.297655
31,sad,2025-06-30 13:15:45.444053
32,neutral,2025-06-30 13:15:45.530852
33,neutral,2025-06-30 13:15:45.608741
34,neutral,2025-06-30 13:15:45.701337
35,neutral,2025-06-30 13:15:45.777148
36,neutral,2025-06-30 13:15:45.841863
37,neutral,2025-06-30 13:15:45.922051
38,neutral,2025-06-30 13:15:46.004702
39,neutral,2025-06-30 13:15:46.083451
40,neutral,2025-06-30 13:15:46.161465
41,neutral,2025-06-30 13:15:46.241493
42,neutral,2025-06-30 13:15:46.307679
43,neutral,2025-06-30 13:15:46.387783
44,neutral,2025-06-30 13:15:46.451010
45,neutral,2025-06-30 13:15:46.515325
46,neutral,2025-06-30 13:15:46.593454
47,neutral,2025-06-30 13:15:46.676571
48,neutral,2025-06-30 13:15:46.750812
49,neutral,2025-06-30 13:15:46.812871
50,neutral,2025-06-30 13:15:46.879211
51,neutral,2025-06-30 13:15:46.942453
52,happy,2025-06-30 13:15:47.024571
53,happy,2025-06-30 13:15:47.102499
54,happy,2025-06-30 13:15:47.184131
55,happy,2025-06-30 13:15:47.261784
56,happy,2025-06-30 13:15:47.338984
57,happy,2025-06-30 13:15:47.416758
58,happy,2025-06-30 13:15:47.484180
59,happy,2025-06-30 13:15:47.560461
60,happy,2025-06-30 13:15:47.639914
61,neutral,2025-06-30 13:15:47.732032
62,neutral,2025-06-30 13:15:47.823940
63,neutral,2025-06-30 13:15:47.917363
64,neutral,2025-06-30 13:15:48.011110
65,neutral,2025-06-30 13:15:48.105500
66,neutral,2025-06-30 13:15:48.197576
67,neutral,2025-06-30 13:15:48.290990
68,neutral,2025-06-30 13:15:48.384280
69,neutral,2025-06-30 13:15:48.478068
70,neutral,2025-06-30 13:15:48.570891
