,Emotion Detection,Time
0,neutral,2025-06-30 12:47:05.100368
1,sad,2025-06-30 12:47:05.881303
2,sad,2025-06-30 12:47:05.881303
3,sad,2025-06-30 12:47:05.994597
4,sad,2025-06-30 12:47:06.076790
5,sad,2025-06-30 12:47:06.158534
6,sad,2025-06-30 12:47:06.251948
7,sad,2025-06-30 12:47:06.251948
8,happy,2025-06-30 12:47:06.377562
9,fear,2025-06-30 12:47:06.377562
10,sad,2025-06-30 12:47:06.485304
11,fear,2025-06-30 12:47:06.485304
12,fear,2025-06-30 12:47:06.608623
13,neutral,2025-06-30 12:47:06.695868
14,neutral,2025-06-30 12:47:06.799757
15,sad,2025-06-30 12:47:06.875247
16,sad,2025-06-30 12:47:06.977923
17,surprise,2025-06-30 12:47:07.043477
18,neutral,2025-06-30 12:47:07.149616
19,fear,2025-06-30 12:47:07.245644
20,fear,2025-06-30 12:47:07.245644
21,neutral,2025-06-30 12:47:07.360898
22,fear,2025-06-30 12:47:07.360898
23,sad,2025-06-30 12:47:07.497288
24,neutral,2025-06-30 12:47:07.497288
25,sad,2025-06-30 12:47:07.650283
26,neutral,2025-06-30 12:47:07.650283
27,neutral,2025-06-30 12:47:07.784755
28,neutral,2025-06-30 12:47:07.784755
29,neutral,2025-06-30 12:47:07.958992
30,neutral,2025-06-30 12:47:07.958992
31,sad,2025-06-30 12:47:08.083363
32,neutral,2025-06-30 12:47:08.083363
33,neutral,2025-06-30 12:47:08.223310
34,sad,2025-06-30 12:47:08.223310
35,neutral,2025-06-30 12:47:08.384706
36,neutral,2025-06-30 12:47:08.384706
37,sad,2025-06-30 12:47:08.526408
38,neutral,2025-06-30 12:47:08.526408
39,neutral,2025-06-30 12:47:08.649957
40,sad,2025-06-30 12:47:08.649957
41,fear,2025-06-30 12:47:08.788764
42,neutral,2025-06-30 12:47:08.788764
43,neutral,2025-06-30 12:47:08.915262
44,neutral,2025-06-30 12:47:08.915262
45,neutral,2025-06-30 12:47:09.098981
46,neutral,2025-06-30 12:47:09.098981
47,neutral,2025-06-30 12:47:09.234526
48,neutral,2025-06-30 12:47:09.234526
49,angry,2025-06-30 12:47:09.353831
50,angry,2025-06-30 12:47:09.353831
51,neutral,2025-06-30 12:47:09.499423
52,neutral,2025-06-30 12:47:09.499423
53,neutral,2025-06-30 12:47:09.642313
54,neutral,2025-06-30 12:47:09.642313
55,neutral,2025-06-30 12:47:09.759151
56,neutral,2025-06-30 12:47:09.759151
57,neutral,2025-06-30 12:47:09.937801
58,neutral,2025-06-30 12:47:09.937801
59,neutral,2025-06-30 12:47:10.096363
60,fear,2025-06-30 12:47:10.096363
61,neutral,2025-06-30 12:47:10.248507
62,neutral,2025-06-30 12:47:10.248507
63,neutral,2025-06-30 12:47:10.420508
