,Emotion Detection,Time
0,fear,2025-06-30 12:26:37.065224
1,neutral,2025-06-30 12:26:37.065224
2,neutral,2025-06-30 12:26:38.701819
3,neutral,2025-06-30 12:26:38.701819
4,happy,2025-06-30 12:26:38.864311
5,neutral,2025-06-30 12:26:38.864311
6,fear,2025-06-30 12:26:39.000828
7,neutral,2025-06-30 12:26:39.000828
8,happy,2025-06-30 12:26:39.164009
9,neutral,2025-06-30 12:26:39.164009
10,angry,2025-06-30 12:26:39.330064
11,neutral,2025-06-30 12:26:39.330064
12,neutral,2025-06-30 12:26:39.478486
13,fear,2025-06-30 12:26:39.586774
14,neutral,2025-06-30 12:26:39.586774
15,fear,2025-06-30 12:26:39.732369
16,neutral,2025-06-30 12:26:39.732369
17,fear,2025-06-30 12:26:39.963065
18,neutral,2025-06-30 12:26:39.963065
19,fear,2025-06-30 12:26:40.103063
20,neutral,2025-06-30 12:26:40.103063
21,fear,2025-06-30 12:26:40.246781
22,neutral,2025-06-30 12:26:40.246781
23,neutral,2025-06-30 12:26:40.370564
24,neutral,2025-06-30 12:26:40.480673
25,neutral,2025-06-30 12:26:40.609972
26,fear,2025-06-30 12:26:40.761559
27,angry,2025-06-30 12:26:40.761559
28,fear,2025-06-30 12:26:40.894564
29,neutral,2025-06-30 12:26:40.894564
30,fear,2025-06-30 12:26:41.004270
31,neutral,2025-06-30 12:26:41.004270
32,fear,2025-06-30 12:26:41.121245
33,neutral,2025-06-30 12:26:41.121245
34,fear,2025-06-30 12:26:41.223264
35,neutral,2025-06-30 12:26:41.223264
36,fear,2025-06-30 12:26:41.334937
37,neutral,2025-06-30 12:26:41.334937
38,fear,2025-06-30 12:26:41.466529
39,neutral,2025-06-30 12:26:41.466529
40,neutral,2025-06-30 12:26:41.591112
41,fear,2025-06-30 12:26:41.701965
42,neutral,2025-06-30 12:26:41.701965
43,neutral,2025-06-30 12:26:41.819286
44,neutral,2025-06-30 12:26:41.906582
45,neutral,2025-06-30 12:26:41.906582
46,neutral,2025-06-30 12:26:42.012411
47,neutral,2025-06-30 12:26:42.109368
48,neutral,2025-06-30 12:26:42.195191
49,neutral,2025-06-30 12:26:42.195191
50,neutral,2025-06-30 12:26:42.392848
51,fear,2025-06-30 12:26:42.392848
52,neutral,2025-06-30 12:26:42.506981
53,fear,2025-06-30 12:26:42.506981
54,fear,2025-06-30 12:26:42.646968
55,neutral,2025-06-30 12:26:42.646968
56,fear,2025-06-30 12:26:42.761301
57,neutral,2025-06-30 12:26:42.761301
58,neutral,2025-06-30 12:26:42.947988
59,neutral,2025-06-30 12:26:43.115973
60,angry,2025-06-30 12:26:43.115973
61,fear,2025-06-30 12:26:43.301181
62,neutral,2025-06-30 12:26:43.301181
63,neutral,2025-06-30 12:26:43.477499
64,fear,2025-06-30 12:26:43.477499
65,neutral,2025-06-30 12:26:43.684150
66,fear,2025-06-30 12:26:43.684150
67,neutral,2025-06-30 12:26:43.866167
68,fear,2025-06-30 12:26:43.866167
69,neutral,2025-06-30 12:26:44.062681
70,fear,2025-06-30 12:26:44.213483
71,neutral,2025-06-30 12:26:44.213483
72,neutral,2025-06-30 12:26:44.460006
73,neutral,2025-06-30 12:26:44.577440
74,neutral,2025-06-30 12:26:44.670678
75,happy,2025-06-30 12:26:44.779875
76,neutral,2025-06-30 12:26:44.779875
77,fear,2025-06-30 12:26:44.931300
78,neutral,2025-06-30 12:26:44.931300
79,fear,2025-06-30 12:26:45.063745
80,neutral,2025-06-30 12:26:45.063745
81,fear,2025-06-30 12:26:45.180651
82,neutral,2025-06-30 12:26:45.180651
83,neutral,2025-06-30 12:26:45.313533
84,neutral,2025-06-30 12:26:45.415588
85,fear,2025-06-30 12:26:45.519093
86,neutral,2025-06-30 12:26:45.519093
87,happy,2025-06-30 12:26:45.638252
88,neutral,2025-06-30 12:26:45.638252
89,neutral,2025-06-30 12:26:45.786968
90,angry,2025-06-30 12:26:45.786968
91,fear,2025-06-30 12:26:45.972069
92,neutral,2025-06-30 12:26:45.972069
93,angry,2025-06-30 12:26:46.107596
94,neutral,2025-06-30 12:26:46.107596
95,sad,2025-06-30 12:26:46.281253
96,fear,2025-06-30 12:26:46.281253
97,fear,2025-06-30 12:26:46.407942
98,sad,2025-06-30 12:26:46.407942
99,fear,2025-06-30 12:26:46.582106
100,neutral,2025-06-30 12:26:46.582106
101,fear,2025-06-30 12:26:46.742633
102,sad,2025-06-30 12:26:46.742633
103,fear,2025-06-30 12:26:46.891290
104,sad,2025-06-30 12:26:46.891290
105,fear,2025-06-30 12:26:47.018912
106,neutral,2025-06-30 12:26:47.018912
107,fear,2025-06-30 12:26:47.186353
108,neutral,2025-06-30 12:26:47.186353
109,sad,2025-06-30 12:26:47.380207
110,fear,2025-06-30 12:26:47.380207
111,fear,2025-06-30 12:26:47.531536
112,neutral,2025-06-30 12:26:47.531536
113,fear,2025-06-30 12:26:47.683848
114,neutral,2025-06-30 12:26:47.683848
115,fear,2025-06-30 12:26:47.821207
116,neutral,2025-06-30 12:26:47.821207
