Eye Detection,Time
CENTER,13:50:13
CENTER,13:50:13
CENTER,13:50:13
CENTER,13:50:13
CENTER,13:50:13
CENTER,13:50:13
CENTER,13:50:13
CENTER,13:50:13
Blinking,13:50:13
CENTER,13:50:13
Blinking,13:50:13
Blinking,13:50:13
CENTER,13:50:13
Blinking,13:50:13
Blinking,13:50:14
Blinking,13:50:14
CENTER,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:14
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
Blinking,13:50:15
CENTER,13:50:15
Blinking,13:50:15
Blinking,13:50:16
Blinking,13:50:16
Blinking,13:50:16
Blinking,13:50:16
CENTER,13:50:16
CENTER,13:50:16
CENTER,13:50:16
Blinking,13:50:16
Blinking,13:50:16
Blinking,13:50:16
CENTER,13:50:16
Blinking,13:50:16
Blinking,13:50:16
Blinking,13:50:16
Blinking,13:50:16
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:17
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:18
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:19
Blinking,13:50:20
Blinking,13:50:20
Blinking,13:50:20
Blinking,13:50:20
Blinking,13:50:20
Blinking,13:50:20
Blinking,13:50:20
Blinking,13:50:20
CENTER,13:50:20
Blinking,13:50:20
CENTER,13:50:20
CENTER,13:50:20
CENTER,13:50:20
CENTER,13:50:20
CENTER,13:50:20
CENTER,13:50:20
CENTER,13:50:20
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
CENTER,13:50:21
LEFT,13:50:22
CENTER,13:50:22
CENTER,13:50:22
RIGHT,13:50:22
RIGHT,13:50:22
RIGHT,13:50:22
CENTER,13:50:22
CENTER,13:50:22
RIGHT,13:50:22
CENTER,13:50:22
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:23
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
CENTER,13:50:24
Blinking,13:50:25
CENTER,13:50:25
Blinking,13:50:25
Blinking,13:50:25
Blinking,13:50:25
CENTER,13:50:25
Blinking,13:50:25
CENTER,13:50:25
CENTER,13:50:25
CENTER,13:50:25
CENTER,13:50:25
CENTER,13:50:25
Blinking,13:50:25
CENTER,13:50:25
Blinking,13:50:25
Blinking,13:50:25
CENTER,13:50:25
CENTER,13:50:25
Blinking,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:26
Blinking,13:50:26
CENTER,13:50:26
Blinking,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:26
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:27
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:28
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:29
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:30
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:31
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:32
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:33
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
Blinking,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:34
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:35
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:36
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:37
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:38
RIGHT,13:50:38
CENTER,13:50:38
CENTER,13:50:38
LEFT,13:50:38
CENTER,13:50:38
CENTER,13:50:38
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
LEFT,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:39
CENTER,13:50:40
