,Eye Detection,Time
0,Looking left,2025-02-12 17:52:40.784975
1,Blinking,2025-02-12 17:52:41.704416
2,Blinking,2025-02-12 17:52:42.281439
3,Looking left,2025-02-12 17:52:42.859042
4,Looking left,2025-02-12 17:52:43.434764
5,Looking left,2025-02-12 17:52:44.009316
6,Looking left,2025-02-12 17:52:44.588014
7,Looking left,2025-02-12 17:52:45.164290
8,Looking left,2025-02-12 17:52:45.751870
9,Looking left,2025-02-12 17:52:46.341380
10,Looking left,2025-02-12 17:52:46.914595
11,Looking left,2025-02-12 17:52:47.493372
12,Looking left,2025-02-12 17:52:48.066079
13,Looking left,2025-02-12 17:52:48.644373
14,,2025-02-12 17:52:49.218188
15,Looking left,2025-02-12 17:52:49.794274
16,Looking left,2025-02-12 17:52:50.370913
17,Looking left,2025-02-12 17:52:50.963465
18,Looking left,2025-02-12 17:52:51.532393
19,Looking left,2025-02-12 17:52:52.093275
20,Looking left,2025-02-12 17:52:52.662633
21,Looking left,2025-02-12 17:52:53.237779
22,Looking left,2025-02-12 17:52:53.829823
23,Looking left,2025-02-12 17:52:54.404322
24,Looking left,2025-02-12 17:52:54.976637
25,Looking left,2025-02-12 17:52:55.552031
26,Looking left,2025-02-12 17:52:56.139669
27,Looking left,2025-02-12 17:52:56.715502
28,Looking left,2025-02-12 17:52:57.290179
29,,2025-02-12 17:52:57.962874
30,Looking left,2025-02-12 17:52:58.538960
31,Looking left,2025-02-12 17:52:59.127329
32,Looking left,2025-02-12 17:52:59.702351
33,Looking left,2025-02-12 17:53:00.279749
34,Looking left,2025-02-12 17:53:00.851212
35,Looking left,2025-02-12 17:53:01.443167
36,Looking center,2025-02-12 17:53:02.018483
37,Looking center,2025-02-12 17:53:02.596343
38,,2025-02-12 17:53:03.172105
39,,2025-02-12 17:53:03.751104
40,,2025-02-12 17:53:04.344734
41,Looking left,2025-02-12 17:53:04.923822
42,Looking left,2025-02-12 17:53:05.489982
43,Looking left,2025-02-12 17:53:06.087021
44,Looking left,2025-02-12 17:53:06.680538
45,Looking left,2025-02-12 17:53:07.255474
46,,2025-02-12 17:53:07.827104
47,,2025-02-12 17:53:08.412758
48,Looking left,2025-02-12 17:53:08.986764
49,Looking left,2025-02-12 17:53:09.564600
50,Looking left,2025-02-12 17:53:10.128082
51,Looking left,2025-02-12 17:53:10.703707
52,Looking left,2025-02-12 17:53:11.279636
53,Looking left,2025-02-12 17:53:11.842013
54,Looking left,2025-02-12 17:53:12.405269
55,Looking left,2025-02-12 17:53:12.994948
56,Looking left,2025-02-12 17:53:13.567211
57,Blinking,2025-02-12 17:53:14.139615
58,Looking left,2025-02-12 17:53:14.714434
59,Blinking,2025-02-12 17:53:15.308348
60,Looking left,2025-02-12 17:53:15.899462
61,Looking left,2025-02-12 17:53:16.478177
62,Looking left,2025-02-12 17:53:17.053085
63,Looking left,2025-02-12 17:53:17.644843
64,Blinking,2025-02-12 17:53:18.235933
65,Blinking,2025-02-12 17:53:18.813174
66,Blinking,2025-02-12 17:53:19.376276
67,Looking left,2025-02-12 17:53:19.952457
68,Looking left,2025-02-12 17:53:20.525734
69,Blinking,2025-02-12 17:53:21.100770
70,Looking left,2025-02-12 17:53:21.679893
71,Looking left,2025-02-12 17:53:22.252196
72,Looking left,2025-02-12 17:53:22.824014
73,Looking left,2025-02-12 17:53:23.387653
74,Looking left,2025-02-12 17:53:23.960494
75,Looking left,2025-02-12 17:53:24.552712
76,Blinking,2025-02-12 17:53:25.138512
77,Blinking,2025-02-12 17:53:25.722506
78,Blinking,2025-02-12 17:53:26.298952
79,Looking left,2025-02-12 17:53:26.873589
80,Looking left,2025-02-12 17:53:27.466891
81,Looking left,2025-02-12 17:53:28.052502
82,Looking left,2025-02-12 17:53:28.628040
83,Looking left,2025-02-12 17:53:29.204608
84,Looking left,2025-02-12 17:53:29.784825
85,Looking left,2025-02-12 17:53:30.373415
86,Looking left,2025-02-12 17:53:30.953634
87,Looking left,2025-02-12 17:53:31.530341
