,Eye Detection,Time
0,CENTER,2025-02-24 22:49:03.849342
1,LEFT,2025-02-24 22:49:03.849342
2,CENTER,2025-02-24 22:49:03.849342
3,CENTER,2025-02-24 22:49:03.849342
4,LEFT,2025-02-24 22:49:03.849342
5,CENTER,2025-02-24 22:49:03.849342
6,CENTER,2025-02-24 22:49:03.849342
7,CENTER,2025-02-24 22:49:03.849342
8,CENTER,2025-02-24 22:49:03.849342
9,CENTER,2025-02-24 22:49:03.849342
10,CENTER,2025-02-24 22:49:03.849342
11,CENTER,2025-02-24 22:49:03.849342
12,CENTER,2025-02-24 22:49:03.849342
13,CENTER,2025-02-24 22:49:03.849342
14,CENTER,2025-02-24 22:49:03.849342
15,CENTER,2025-02-24 22:49:03.849342
16,CENTER,2025-02-24 22:49:03.849342
17,CENTER,2025-02-24 22:49:03.849342
18,CENTER,2025-02-24 22:49:03.849342
19,CENTER,2025-02-24 22:49:03.849342
20,CENTER,2025-02-24 22:49:03.849342
21,LEFT,2025-02-24 22:49:03.849342
22,LEFT,2025-02-24 22:49:03.849342
23,LEFT,2025-02-24 22:49:03.849342
24,CENTER,2025-02-24 22:49:03.849342
25,LEFT,2025-02-24 22:49:03.849342
26,LEFT,2025-02-24 22:49:03.849342
27,LEFT,2025-02-24 22:49:03.849342
28,LEFT,2025-02-24 22:49:03.849342
29,LEFT,2025-02-24 22:49:03.849342
30,LEFT,2025-02-24 22:49:03.849342
31,LEFT,2025-02-24 22:49:03.849342
32,LEFT,2025-02-24 22:49:03.849342
33,LEFT,2025-02-24 22:49:03.849342
34,CENTER,2025-02-24 22:49:03.849342
35,CENTER,2025-02-24 22:49:03.849342
36,CENTER,2025-02-24 22:49:03.849342
37,CENTER,2025-02-24 22:49:03.849342
38,CENTER,2025-02-24 22:49:03.849342
39,CENTER,2025-02-24 22:49:03.849342
40,CENTER,2025-02-24 22:49:03.849342
41,CENTER,2025-02-24 22:49:03.849342
42,CENTER,2025-02-24 22:49:03.849342
43,CENTER,2025-02-24 22:49:03.849342
44,LEFT,2025-02-24 22:49:03.849342
45,LEFT,2025-02-24 22:49:03.849342
46,CENTER,2025-02-24 22:49:03.849342
47,CENTER,2025-02-24 22:49:03.849342
48,CENTER,2025-02-24 22:49:03.849342
49,CENTER,2025-02-24 22:49:03.849342
50,CENTER,2025-02-24 22:49:03.849342
51,CENTER,2025-02-24 22:49:03.849342
52,CENTER,2025-02-24 22:49:03.849342
53,CENTER,2025-02-24 22:49:03.849342
54,CENTER,2025-02-24 22:49:03.849342
55,CENTER,2025-02-24 22:49:03.849342
56,CENTER,2025-02-24 22:49:03.849342
57,Blinking,2025-02-24 22:49:03.849342
58,Blinking,2025-02-24 22:49:03.849342
59,CENTER,2025-02-24 22:49:03.849342
60,LEFT,2025-02-24 22:49:03.849342
61,LEFT,2025-02-24 22:49:03.849342
62,LEFT,2025-02-24 22:49:03.849342
63,LEFT,2025-02-24 22:49:03.849342
64,LEFT,2025-02-24 22:49:03.849342
65,LEFT,2025-02-24 22:49:03.849342
66,LEFT,2025-02-24 22:49:03.849342
67,LEFT,2025-02-24 22:49:03.849342
68,LEFT,2025-02-24 22:49:03.849342
69,CENTER,2025-02-24 22:49:03.849342
70,LEFT,2025-02-24 22:49:03.849342
71,LEFT,2025-02-24 22:49:03.849342
72,LEFT,2025-02-24 22:49:03.849342
73,LEFT,2025-02-24 22:49:03.849342
74,LEFT,2025-02-24 22:49:03.849342
75,LEFT,2025-02-24 22:49:03.849342
76,LEFT,2025-02-24 22:49:03.849342
77,LEFT,2025-02-24 22:49:03.849342
78,LEFT,2025-02-24 22:49:03.849342
79,CENTER,2025-02-24 22:49:03.849342
80,CENTER,2025-02-24 22:49:03.849342
81,CENTER,2025-02-24 22:49:03.849342
82,CENTER,2025-02-24 22:49:03.849342
83,CENTER,2025-02-24 22:49:03.849342
84,CENTER,2025-02-24 22:49:03.849342
85,CENTER,2025-02-24 22:49:03.849342
86,CENTER,2025-02-24 22:49:03.849342
87,CENTER,2025-02-24 22:49:03.849342
88,CENTER,2025-02-24 22:49:03.849342
89,Blinking,2025-02-24 22:49:03.849342
90,CENTER,2025-02-24 22:49:03.849342
91,LEFT,2025-02-24 22:49:03.849342
92,LEFT,2025-02-24 22:49:03.849342
93,LEFT,2025-02-24 22:49:03.849342
94,LEFT,2025-02-24 22:49:03.849342
95,LEFT,2025-02-24 22:49:03.849342
96,LEFT,2025-02-24 22:49:03.849342
97,LEFT,2025-02-24 22:49:03.849342
98,LEFT,2025-02-24 22:49:03.849342
99,LEFT,2025-02-24 22:49:03.849342
100,LEFT,2025-02-24 22:49:03.849342
101,LEFT,2025-02-24 22:49:03.849342
102,LEFT,2025-02-24 22:49:03.849342
103,LEFT,2025-02-24 22:49:03.849342
104,LEFT,2025-02-24 22:49:03.849342
105,LEFT,2025-02-24 22:49:03.849342
106,Blinking,2025-02-24 22:49:03.849342
107,CENTER,2025-02-24 22:49:03.849342
108,CENTER,2025-02-24 22:49:03.849342
109,CENTER,2025-02-24 22:49:03.849342
110,CENTER,2025-02-24 22:49:03.849342
111,CENTER,2025-02-24 22:49:03.849342
112,CENTER,2025-02-24 22:49:03.849342
113,CENTER,2025-02-24 22:49:03.849342
114,CENTER,2025-02-24 22:49:03.849342
115,CENTER,2025-02-24 22:49:03.849342
116,CENTER,2025-02-24 22:49:03.849342
117,CENTER,2025-02-24 22:49:03.849342
118,CENTER,2025-02-24 22:49:03.849342
119,CENTER,2025-02-24 22:49:03.849342
120,CENTER,2025-02-24 22:49:03.849342
121,CENTER,2025-02-24 22:49:03.849342
122,CENTER,2025-02-24 22:49:03.849342
123,CENTER,2025-02-24 22:49:03.849342
124,CENTER,2025-02-24 22:49:03.849342
125,CENTER,2025-02-24 22:49:03.849342
126,CENTER,2025-02-24 22:49:03.849342
127,CENTER,2025-02-24 22:49:03.849342
128,CENTER,2025-02-24 22:49:03.849342
129,CENTER,2025-02-24 22:49:03.849342
130,CENTER,2025-02-24 22:49:03.849342
131,CENTER,2025-02-24 22:49:03.849342
132,CENTER,2025-02-24 22:49:03.849342
133,Blinking,2025-02-24 22:49:03.849342
134,Blinking,2025-02-24 22:49:03.849342
135,Blinking,2025-02-24 22:49:03.849342
136,CENTER,2025-02-24 22:49:03.849342
137,CENTER,2025-02-24 22:49:03.849342
138,CENTER,2025-02-24 22:49:03.849342
139,CENTER,2025-02-24 22:49:03.849342
140,CENTER,2025-02-24 22:49:03.849342
141,CENTER,2025-02-24 22:49:03.849342
142,CENTER,2025-02-24 22:49:03.849342
143,RIGHT,2025-02-24 22:49:03.849342
144,CENTER,2025-02-24 22:49:03.849342
145,CENTER,2025-02-24 22:49:03.849342
146,CENTER,2025-02-24 22:49:03.849342
147,CENTER,2025-02-24 22:49:03.849342
148,CENTER,2025-02-24 22:49:03.849342
149,CENTER,2025-02-24 22:49:03.849342
150,RIGHT,2025-02-24 22:49:03.849342
151,CENTER,2025-02-24 22:49:03.849342
