Eye Detection,Time
RIGHT,22:42:54
RIGHT,22:42:54
RIGHT,22:42:54
RIGHT,22:42:54
RIGHT,22:42:54
RIGHT,22:42:54
RIGHT,22:42:54
RIGHT,22:42:54
RIGHT,22:42:54
LEFT,22:42:54
CENTER,22:42:54
LEFT,22:42:54
LEFT,22:42:54
LEFT,22:42:54
CENTER,22:42:54
CENTER,22:42:54
CENTER,22:42:54
CENTER,22:42:54
LEFT,22:42:55
CENTER,22:42:55
CENTER,22:42:55
CENTER,22:42:55
CENTER,22:42:55
CENTER,22:42:55
CENTER,22:42:55
CENTER,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:55
CENTER,22:42:55
CENTER,22:42:55
CENTER,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:55
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
LEFT,22:42:56
CENTER,22:42:56
LEFT,22:42:57
LEFT,22:42:57
CENTER,22:42:57
CENTER,22:42:57
CENTER,22:42:57
CENTER,22:42:57
Blinking,22:42:57
CENTER,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:57
CENTER,22:42:57
LEFT,22:42:57
LEFT,22:42:57
CENTER,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:57
LEFT,22:42:58
LEFT,22:42:58
LEFT,22:42:58
LEFT,22:42:58
CENTER,22:42:58
CENTER,22:42:58
LEFT,22:42:58
CENTER,22:42:58
Blinking,22:42:58
LEFT,22:42:58
LEFT,22:42:58
LEFT,22:42:58
CENTER,22:42:58
LEFT,22:42:58
LEFT,22:42:58
LEFT,22:42:58
CENTER,22:42:58
LEFT,22:42:58
CENTER,22:42:58
CENTER,22:42:58
CENTER,22:42:58
CENTER,22:42:58
CENTER,22:42:58
CENTER,22:42:58
CENTER,22:42:59
CENTER,22:42:59
CENTER,22:42:59
CENTER,22:42:59
LEFT,22:42:59
CENTER,22:42:59
LEFT,22:42:59
LEFT,22:42:59
LEFT,22:42:59
LEFT,22:42:59
LEFT,22:42:59
CENTER,22:42:59
CENTER,22:42:59
LEFT,22:42:59
LEFT,22:42:59
CENTER,22:42:59
LEFT,22:42:59
CENTER,22:42:59
CENTER,22:43:00
CENTER,22:43:00
CENTER,22:43:00
CENTER,22:43:00
LEFT,22:43:00
LEFT,22:43:00
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
LEFT,22:43:01
CENTER,22:43:01
CENTER,22:43:01
CENTER,22:43:01
CENTER,22:43:01
CENTER,22:43:02
CENTER,22:43:02
CENTER,22:43:02
