Eye Detection,Time
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:31
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
CENTER,22:48:32
Blinking,22:48:32
Blinking,22:48:32
CENTER,22:48:32
CENTER,22:48:33
LEFT,22:48:33
LEFT,22:48:33
LEFT,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:33
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
CENTER,22:48:34
LEFT,22:48:34
CENTER,22:48:34
LEFT,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
Blinking,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:35
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:36
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:37
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:38
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:39
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
CENTER,22:48:40
RIGHT,22:48:40
RIGHT,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
CENTER,22:48:41
Blinking,22:48:41
Blinking,22:48:41
Blinking,22:48:41
CENTER,22:48:41
CENTER,22:48:41
