Eye Detection,Time
CENTER,22:46:22
CENTER,22:46:22
CENTER,22:46:22
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:23
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
CENTER,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:24
LEFT,22:46:25
LEFT,22:46:25
LEFT,22:46:25
LEFT,22:46:25
LEFT,22:46:25
LEFT,22:46:25
LEFT,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:25
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
LEFT,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
CENTER,22:46:26
LEFT,22:46:26
LEFT,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
LEFT,22:46:27
CENTER,22:46:27
CENTER,22:46:27
LEFT,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
CENTER,22:46:27
LEFT,22:46:27
LEFT,22:46:27
LEFT,22:46:27
LEFT,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
Blinking,22:46:28
Blinking,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
CENTER,22:46:28
LEFT,22:46:28
CENTER,22:46:28
LEFT,22:46:28
LEFT,22:46:28
LEFT,22:46:28
LEFT,22:46:28
LEFT,22:46:28
LEFT,22:46:28
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
CENTER,22:46:29
CENTER,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
LEFT,22:46:29
CENTER,22:46:29
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
LEFT,22:46:30
LEFT,22:46:30
LEFT,22:46:30
LEFT,22:46:30
LEFT,22:46:30
LEFT,22:46:30
LEFT,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:30
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
Blinking,22:46:31
Blinking,22:46:31
Blinking,22:46:31
Blinking,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
LEFT,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:31
CENTER,22:46:32
LEFT,22:46:32
RIGHT,22:46:32
CENTER,22:46:32
CENTER,22:46:32
CENTER,22:46:32
CENTER,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
CENTER,22:46:32
CENTER,22:46:32
CENTER,22:46:32
CENTER,22:46:32
CENTER,22:46:32
RIGHT,22:46:32
RIGHT,22:46:32
CENTER,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
RIGHT,22:46:33
