Eye Detection,Time
CENTER,01:53:16
CENTER,01:53:16
CENTER,01:53:16
CENTER,01:53:16
CENTER,01:53:16
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:17
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:18
Blinking,01:53:18
Blinking,01:53:18
Blinking,01:53:18
CENTER,01:53:18
CENTER,01:53:18
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
Blinking,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:19
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:20
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:21
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
Blinking,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:22
CENTER,01:53:23
CENTER,01:53:23
CENTER,01:53:23
CENTER,01:53:23
CENTER,01:53:23
CENTER,01:53:23
CENTER,01:53:23
CENTER,01:53:23
Blinking,01:53:23
