,Eye Detection,Time
0,Blinking,2025-02-18 10:46:03.321446
1,Blinking,2025-02-18 10:46:04.446788
2,Looking center,2025-02-18 10:46:05.528941
3,Looking left,2025-02-18 10:46:06.078418
4,Blinking,2025-02-18 10:46:06.626804
5,Blinking,2025-02-18 10:46:07.179149
6,Blinking,2025-02-18 10:46:07.726382
7,Blinking,2025-02-18 10:46:08.269444
8,Looking center,2025-02-18 10:46:08.813612
9,Blinking,2025-02-18 10:46:09.357847
10,Looking left,2025-02-18 10:46:25.359302
11,Blinking,2025-02-18 10:46:26.450293
12,Looking left,2025-02-18 10:46:26.997096
13,Looking center,2025-02-18 10:46:27.545434
14,Looking left,2025-02-18 10:46:28.097850
15,Looking left,2025-02-18 10:46:28.646603
16,Looking left,2025-02-18 10:46:29.196091
17,Looking left,2025-02-18 10:46:29.738547
18,Looking left,2025-02-18 10:46:30.282759
19,Looking center,2025-02-18 10:46:30.827453
20,Looking center,2025-02-18 10:46:31.374961
21,Looking left,2025-02-18 10:46:31.914873
22,Looking center,2025-02-18 10:46:32.460321
23,Looking left,2025-02-18 10:46:33.003023
24,Blinking,2025-02-18 10:46:33.546850
25,Blinking,2025-02-18 10:46:34.092431
26,Blinking,2025-02-18 10:46:34.638908
27,Blinking,2025-02-18 10:46:35.183047
28,Blinking,2025-02-18 10:46:35.726414
29,Blinking,2025-02-18 10:46:36.274648
30,Blinking,2025-02-18 10:46:37.369423
