,Eye Detection,Time
0,Blinking,2025-02-18 11:05:40.215792
1,CENTER,2025-02-18 11:05:40.215792
2,CENTER,2025-02-18 11:05:40.215792
3,CENTER,2025-02-18 11:05:40.215792
4,CENTER,2025-02-18 11:05:40.215792
5,CENTER,2025-02-18 11:05:40.215792
6,CENTER,2025-02-18 11:05:40.215792
7,Blinking,2025-02-18 11:05:40.215792
8,Blinking,2025-02-18 11:05:40.215792
9,CENTER,2025-02-18 11:05:40.215792
10,CENTER,2025-02-18 11:05:40.215792
11,CENTER,2025-02-18 11:05:40.215792
12,CENTER,2025-02-18 11:05:40.215792
13,Blinking,2025-02-18 11:05:40.215792
14,Blinking,2025-02-18 11:05:40.215792
15,CENTER,2025-02-18 11:05:40.215792
16,Blinking,2025-02-18 11:05:40.215792
17,CENTER,2025-02-18 11:05:40.215792
18,Blinking,2025-02-18 11:05:40.215792
19,CENTER,2025-02-18 11:05:40.215792
20,CENTER,2025-02-18 11:05:40.215792
21,Blinking,2025-02-18 11:05:40.215792
22,Blinking,2025-02-18 11:05:40.215792
23,CENTER,2025-02-18 11:05:40.215792
24,CENTER,2025-02-18 11:05:40.215792
25,CENTER,2025-02-18 11:05:40.215792
26,CENTER,2025-02-18 11:05:40.215792
27,CENTER,2025-02-18 11:05:40.215792
28,CENTER,2025-02-18 11:05:40.215792
29,CENTER,2025-02-18 11:05:40.215792
30,CENTER,2025-02-18 11:05:40.215792
31,CENTER,2025-02-18 11:05:40.215792
32,CENTER,2025-02-18 11:05:40.215792
33,CENTER,2025-02-18 11:05:40.215792
34,CENTER,2025-02-18 11:05:40.215792
35,CENTER,2025-02-18 11:05:40.215792
36,CENTER,2025-02-18 11:05:40.215792
37,CENTER,2025-02-18 11:05:40.215792
38,CENTER,2025-02-18 11:05:40.215792
39,CENTER,2025-02-18 11:05:40.215792
40,CENTER,2025-02-18 11:05:40.215792
41,CENTER,2025-02-18 11:05:40.215792
42,CENTER,2025-02-18 11:05:40.215792
43,CENTER,2025-02-18 11:05:40.215792
44,CENTER,2025-02-18 11:05:40.215792
45,CENTER,2025-02-18 11:05:40.215792
46,CENTER,2025-02-18 11:05:40.215792
47,CENTER,2025-02-18 11:05:40.215792
48,CENTER,2025-02-18 11:05:40.215792
49,CENTER,2025-02-18 11:05:40.215792
50,CENTER,2025-02-18 11:05:40.215792
51,CENTER,2025-02-18 11:05:40.215792
52,CENTER,2025-02-18 11:05:40.215792
53,CENTER,2025-02-18 11:05:40.215792
54,CENTER,2025-02-18 11:05:40.215792
55,CENTER,2025-02-18 11:05:40.215792
56,CENTER,2025-02-18 11:05:40.215792
57,CENTER,2025-02-18 11:05:40.215792
58,CENTER,2025-02-18 11:05:40.215792
59,CENTER,2025-02-18 11:05:40.215792
60,CENTER,2025-02-18 11:05:40.215792
61,CENTER,2025-02-18 11:05:40.215792
62,CENTER,2025-02-18 11:05:40.215792
63,CENTER,2025-02-18 11:05:40.215792
64,CENTER,2025-02-18 11:05:40.215792
65,CENTER,2025-02-18 11:05:40.215792
66,CENTER,2025-02-18 11:05:40.215792
67,CENTER,2025-02-18 11:05:40.215792
68,CENTER,2025-02-18 11:05:40.215792
69,CENTER,2025-02-18 11:05:40.215792
70,CENTER,2025-02-18 11:05:40.215792
71,CENTER,2025-02-18 11:05:40.215792
72,CENTER,2025-02-18 11:05:40.215792
73,CENTER,2025-02-18 11:05:40.215792
74,CENTER,2025-02-18 11:05:40.215792
75,CENTER,2025-02-18 11:05:40.215792
76,CENTER,2025-02-18 11:05:40.215792
77,CENTER,2025-02-18 11:05:40.215792
78,CENTER,2025-02-18 11:05:40.215792
79,CENTER,2025-02-18 11:05:40.215792
80,CENTER,2025-02-18 11:05:40.215792
81,CENTER,2025-02-18 11:05:40.215792
82,CENTER,2025-02-18 11:05:40.215792
83,CENTER,2025-02-18 11:05:40.215792
84,CENTER,2025-02-18 11:05:40.215792
85,CENTER,2025-02-18 11:05:40.215792
86,CENTER,2025-02-18 11:05:40.215792
87,CENTER,2025-02-18 11:05:40.215792
88,CENTER,2025-02-18 11:05:40.215792
89,CENTER,2025-02-18 11:05:40.215792
90,CENTER,2025-02-18 11:05:40.215792
91,CENTER,2025-02-18 11:05:40.215792
92,CENTER,2025-02-18 11:05:40.215792
93,CENTER,2025-02-18 11:05:40.215792
94,CENTER,2025-02-18 11:05:40.215792
95,CENTER,2025-02-18 11:05:40.215792
96,CENTER,2025-02-18 11:05:40.215792
97,CENTER,2025-02-18 11:05:40.215792
98,CENTER,2025-02-18 11:05:40.215792
99,CENTER,2025-02-18 11:05:40.215792
100,CENTER,2025-02-18 11:05:40.215792
101,CENTER,2025-02-18 11:05:40.215792
102,CENTER,2025-02-18 11:05:40.215792
103,CENTER,2025-02-18 11:05:40.215792
104,CENTER,2025-02-18 11:05:40.215792
105,CENTER,2025-02-18 11:05:40.215792
106,CENTER,2025-02-18 11:05:40.215792
107,CENTER,2025-02-18 11:05:40.215792
108,CENTER,2025-02-18 11:05:40.215792
109,CENTER,2025-02-18 11:05:40.215792
110,CENTER,2025-02-18 11:05:40.215792
111,CENTER,2025-02-18 11:05:40.215792
112,Blinking,2025-02-18 11:05:40.215792
113,Blinking,2025-02-18 11:05:40.215792
114,Blinking,2025-02-18 11:05:40.215792
115,Blinking,2025-02-18 11:05:40.215792
116,CENTER,2025-02-18 11:05:40.215792
117,LEFT,2025-02-18 11:05:40.215792
118,LEFT,2025-02-18 11:05:40.215792
119,LEFT,2025-02-18 11:05:40.215792
120,LEFT,2025-02-18 11:05:40.215792
121,LEFT,2025-02-18 11:05:40.215792
122,LEFT,2025-02-18 11:05:40.215792
