,Eye Detection,Time
0,CENTER,2025-02-18 11:07:28.091977
1,CENTER,2025-02-18 11:07:28.091977
2,CENTER,2025-02-18 11:07:28.091977
3,CENTER,2025-02-18 11:07:28.091977
4,CENTER,2025-02-18 11:07:28.091977
5,CENTER,2025-02-18 11:07:28.091977
6,CENTER,2025-02-18 11:07:28.091977
7,CENTER,2025-02-18 11:07:28.091977
8,CENTER,2025-02-18 11:07:28.091977
9,CENTER,2025-02-18 11:07:28.091977
10,CENTER,2025-02-18 11:07:28.091977
11,CENTER,2025-02-18 11:07:28.091977
12,CENTER,2025-02-18 11:07:28.091977
13,CENTER,2025-02-18 11:07:28.091977
14,CENTER,2025-02-18 11:07:28.091977
15,CENTER,2025-02-18 11:07:28.091977
16,CENTER,2025-02-18 11:07:28.091977
17,CENTER,2025-02-18 11:07:28.091977
18,CENTER,2025-02-18 11:07:28.091977
19,CENTER,2025-02-18 11:07:28.091977
20,CENTER,2025-02-18 11:07:28.091977
21,CENTER,2025-02-18 11:07:28.091977
22,CENTER,2025-02-18 11:07:28.091977
23,CENTER,2025-02-18 11:07:28.091977
24,CENTER,2025-02-18 11:07:28.091977
25,CENTER,2025-02-18 11:07:28.091977
26,CENTER,2025-02-18 11:07:28.091977
27,CENTER,2025-02-18 11:07:28.091977
28,CENTER,2025-02-18 11:07:28.091977
29,CENTER,2025-02-18 11:07:28.091977
30,CENTER,2025-02-18 11:07:28.091977
31,CENTER,2025-02-18 11:07:28.091977
32,CENTER,2025-02-18 11:07:28.091977
33,CENTER,2025-02-18 11:07:28.091977
34,CENTER,2025-02-18 11:07:28.091977
35,CENTER,2025-02-18 11:07:28.091977
36,CENTER,2025-02-18 11:07:28.091977
37,CENTER,2025-02-18 11:07:28.091977
38,CENTER,2025-02-18 11:07:28.091977
39,CENTER,2025-02-18 11:07:28.091977
40,CENTER,2025-02-18 11:07:28.091977
41,CENTER,2025-02-18 11:07:28.091977
42,CENTER,2025-02-18 11:07:28.091977
43,CENTER,2025-02-18 11:07:28.091977
44,CENTER,2025-02-18 11:07:28.091977
45,CENTER,2025-02-18 11:07:28.091977
46,CENTER,2025-02-18 11:07:28.091977
47,CENTER,2025-02-18 11:07:28.091977
48,CENTER,2025-02-18 11:07:28.091977
49,CENTER,2025-02-18 11:07:28.091977
50,CENTER,2025-02-18 11:07:28.091977
51,CENTER,2025-02-18 11:07:28.091977
52,CENTER,2025-02-18 11:07:28.091977
53,CENTER,2025-02-18 11:07:28.091977
54,CENTER,2025-02-18 11:07:28.091977
55,CENTER,2025-02-18 11:07:28.091977
56,Blinking,2025-02-18 11:07:28.091977
57,Blinking,2025-02-18 11:07:28.091977
58,CENTER,2025-02-18 11:07:28.091977
59,CENTER,2025-02-18 11:07:28.091977
60,CENTER,2025-02-18 11:07:28.091977
61,CENTER,2025-02-18 11:07:28.091977
62,CENTER,2025-02-18 11:07:28.091977
63,CENTER,2025-02-18 11:07:28.091977
64,CENTER,2025-02-18 11:07:28.091977
65,CENTER,2025-02-18 11:07:28.091977
66,CENTER,2025-02-18 11:07:28.091977
67,CENTER,2025-02-18 11:07:28.091977
68,CENTER,2025-02-18 11:07:28.091977
69,CENTER,2025-02-18 11:07:28.091977
70,CENTER,2025-02-18 11:07:28.091977
71,CENTER,2025-02-18 11:07:28.091977
72,CENTER,2025-02-18 11:07:28.091977
73,CENTER,2025-02-18 11:07:28.091977
74,CENTER,2025-02-18 11:07:28.091977
75,CENTER,2025-02-18 11:07:28.091977
76,CENTER,2025-02-18 11:07:28.091977
77,CENTER,2025-02-18 11:07:28.091977
78,CENTER,2025-02-18 11:07:28.091977
79,CENTER,2025-02-18 11:07:28.091977
80,CENTER,2025-02-18 11:07:28.091977
81,CENTER,2025-02-18 11:07:28.091977
82,CENTER,2025-02-18 11:07:28.091977
83,CENTER,2025-02-18 11:07:28.091977
84,CENTER,2025-02-18 11:07:28.091977
85,CENTER,2025-02-18 11:07:28.091977
86,CENTER,2025-02-18 11:07:28.091977
87,CENTER,2025-02-18 11:07:28.091977
