,Eye Detection,Time
0,CENTER,2025-02-23 14:26:10.993733
1,Blinking,2025-02-23 14:26:10.993733
2,RIGHT,2025-02-23 14:26:10.993733
3,CENTER,2025-02-23 14:26:10.993733
4,CENTER,2025-02-23 14:26:10.993733
5,CENTER,2025-02-23 14:26:10.993733
6,CENTER,2025-02-23 14:26:10.993733
7,CENTER,2025-02-23 14:26:10.993733
8,CENTER,2025-02-23 14:26:10.993733
9,CENTER,2025-02-23 14:26:10.993733
10,CENTER,2025-02-23 14:26:10.993733
11,CENTER,2025-02-23 14:26:10.993733
12,CENTER,2025-02-23 14:26:10.993733
13,CENTER,2025-02-23 14:26:10.993733
14,CENTER,2025-02-23 14:26:10.993733
15,CENTER,2025-02-23 14:26:10.993733
16,CENTER,2025-02-23 14:26:10.993733
17,CENTER,2025-02-23 14:26:10.993733
18,CENTER,2025-02-23 14:26:10.993733
19,CENTER,2025-02-23 14:26:10.993733
20,CENTER,2025-02-23 14:26:10.993733
21,CENTER,2025-02-23 14:26:10.993733
22,CENTER,2025-02-23 14:26:10.993733
23,CENTER,2025-02-23 14:26:10.993733
24,CENTER,2025-02-23 14:26:10.993733
25,CENTER,2025-02-23 14:26:10.993733
26,CENTER,2025-02-23 14:26:10.993733
27,CENTER,2025-02-23 14:26:10.993733
28,CENTER,2025-02-23 14:26:10.993733
29,CENTER,2025-02-23 14:26:10.993733
30,CENTER,2025-02-23 14:26:10.993733
31,CENTER,2025-02-23 14:26:10.993733
32,CENTER,2025-02-23 14:26:10.993733
33,CENTER,2025-02-23 14:26:10.993733
34,CENTER,2025-02-23 14:26:10.993733
35,CENTER,2025-02-23 14:26:10.993733
36,CENTER,2025-02-23 14:26:10.993733
37,CENTER,2025-02-23 14:26:10.993733
38,CENTER,2025-02-23 14:26:10.993733
39,CENTER,2025-02-23 14:26:10.993733
40,Blinking,2025-02-23 14:26:10.993733
41,CENTER,2025-02-23 14:26:10.993733
42,Blinking,2025-02-23 14:26:10.993733
43,Blinking,2025-02-23 14:26:10.993733
44,Blinking,2025-02-23 14:26:10.993733
45,Blinking,2025-02-23 14:26:10.993733
46,CENTER,2025-02-23 14:26:10.993733
47,CENTER,2025-02-23 14:26:10.993733
48,CENTER,2025-02-23 14:26:10.993733
49,Blinking,2025-02-23 14:26:10.993733
50,Blinking,2025-02-23 14:26:10.993733
51,Blinking,2025-02-23 14:26:10.993733
52,Blinking,2025-02-23 14:26:10.993733
53,Blinking,2025-02-23 14:26:10.993733
54,Blinking,2025-02-23 14:26:10.993733
55,Blinking,2025-02-23 14:26:10.993733
56,CENTER,2025-02-23 14:26:10.993733
57,Blinking,2025-02-23 14:26:10.993733
58,CENTER,2025-02-23 14:26:10.993733
59,CENTER,2025-02-23 14:26:10.993733
60,CENTER,2025-02-23 14:26:10.993733
61,CENTER,2025-02-23 14:26:10.993733
62,CENTER,2025-02-23 14:26:10.993733
63,CENTER,2025-02-23 14:26:10.993733
64,CENTER,2025-02-23 14:26:10.993733
65,CENTER,2025-02-23 14:26:10.993733
66,CENTER,2025-02-23 14:26:10.993733
67,CENTER,2025-02-23 14:26:10.993733
68,CENTER,2025-02-23 14:26:10.993733
69,CENTER,2025-02-23 14:26:10.993733
70,CENTER,2025-02-23 14:26:10.993733
71,CENTER,2025-02-23 14:26:10.993733
72,CENTER,2025-02-23 14:26:10.993733
73,CENTER,2025-02-23 14:26:10.993733
74,CENTER,2025-02-23 14:26:10.993733
75,CENTER,2025-02-23 14:26:10.993733
76,CENTER,2025-02-23 14:26:10.993733
77,CENTER,2025-02-23 14:26:10.993733
78,CENTER,2025-02-23 14:26:10.993733
79,CENTER,2025-02-23 14:26:10.993733
80,CENTER,2025-02-23 14:26:10.993733
81,CENTER,2025-02-23 14:26:10.993733
82,CENTER,2025-02-23 14:26:10.993733
83,CENTER,2025-02-23 14:26:10.993733
84,CENTER,2025-02-23 14:26:10.993733
85,CENTER,2025-02-23 14:26:10.993733
86,CENTER,2025-02-23 14:26:10.993733
87,CENTER,2025-02-23 14:26:10.993733
88,CENTER,2025-02-23 14:26:10.993733
89,CENTER,2025-02-23 14:26:10.993733
90,CENTER,2025-02-23 14:26:10.993733
91,CENTER,2025-02-23 14:26:10.993733
92,LEFT,2025-02-23 14:26:10.993733
93,CENTER,2025-02-23 14:26:10.993733
94,CENTER,2025-02-23 14:26:10.993733
95,CENTER,2025-02-23 14:26:10.993733
96,CENTER,2025-02-23 14:26:10.993733
97,CENTER,2025-02-23 14:26:10.993733
98,CENTER,2025-02-23 14:26:10.993733
99,CENTER,2025-02-23 14:26:10.993733
100,CENTER,2025-02-23 14:26:10.993733
101,CENTER,2025-02-23 14:26:10.993733
102,CENTER,2025-02-23 14:26:10.993733
103,CENTER,2025-02-23 14:26:10.993733
104,CENTER,2025-02-23 14:26:10.993733
105,CENTER,2025-02-23 14:26:10.993733
106,CENTER,2025-02-23 14:26:10.993733
107,CENTER,2025-02-23 14:26:10.993733
108,Blinking,2025-02-23 14:26:10.993733
109,CENTER,2025-02-23 14:26:10.993733
110,Blinking,2025-02-23 14:26:10.993733
111,Blinking,2025-02-23 14:26:10.993733
112,CENTER,2025-02-23 14:26:10.993733
113,Blinking,2025-02-23 14:26:10.993733
114,Blinking,2025-02-23 14:26:10.993733
115,LEFT,2025-02-23 14:26:10.993733
116,LEFT,2025-02-23 14:26:10.993733
117,CENTER,2025-02-23 14:26:10.993733
118,CENTER,2025-02-23 14:26:10.993733
119,CENTER,2025-02-23 14:26:10.993733
120,CENTER,2025-02-23 14:26:10.993733
121,CENTER,2025-02-23 14:26:10.993733
122,CENTER,2025-02-23 14:26:10.993733
123,CENTER,2025-02-23 14:26:10.993733
124,CENTER,2025-02-23 14:26:10.993733
125,CENTER,2025-02-23 14:26:10.993733
126,CENTER,2025-02-23 14:26:10.993733
127,CENTER,2025-02-23 14:26:10.993733
128,CENTER,2025-02-23 14:26:10.993733
129,CENTER,2025-02-23 14:26:10.993733
130,LEFT,2025-02-23 14:26:10.993733
131,LEFT,2025-02-23 14:26:10.993733
132,LEFT,2025-02-23 14:26:10.993733
133,CENTER,2025-02-23 14:26:10.993733
134,LEFT,2025-02-23 14:26:10.993733
135,LEFT,2025-02-23 14:26:10.993733
136,CENTER,2025-02-23 14:26:10.993733
137,LEFT,2025-02-23 14:26:10.993733
138,LEFT,2025-02-23 14:26:10.993733
139,LEFT,2025-02-23 14:26:10.993733
140,LEFT,2025-02-23 14:26:10.993733
141,LEFT,2025-02-23 14:26:10.993733
142,LEFT,2025-02-23 14:26:10.993733
143,LEFT,2025-02-23 14:26:10.993733
144,LEFT,2025-02-23 14:26:10.993733
145,LEFT,2025-02-23 14:26:10.993733
146,LEFT,2025-02-23 14:26:10.993733
147,CENTER,2025-02-23 14:26:10.993733
148,LEFT,2025-02-23 14:26:10.993733
149,LEFT,2025-02-23 14:26:10.993733
150,CENTER,2025-02-23 14:26:10.993733
151,LEFT,2025-02-23 14:26:10.993733
152,LEFT,2025-02-23 14:26:10.993733
153,LEFT,2025-02-23 14:26:10.993733
154,CENTER,2025-02-23 14:26:10.993733
155,LEFT,2025-02-23 14:26:10.993733
156,CENTER,2025-02-23 14:26:10.993733
157,LEFT,2025-02-23 14:26:10.993733
158,CENTER,2025-02-23 14:26:10.993733
159,LEFT,2025-02-23 14:26:10.993733
160,LEFT,2025-02-23 14:26:10.993733
161,LEFT,2025-02-23 14:26:10.993733
162,LEFT,2025-02-23 14:26:10.993733
163,LEFT,2025-02-23 14:26:10.993733
164,CENTER,2025-02-23 14:26:10.993733
165,CENTER,2025-02-23 14:26:10.993733
166,LEFT,2025-02-23 14:26:10.993733
167,LEFT,2025-02-23 14:26:10.993733
168,LEFT,2025-02-23 14:26:10.993733
169,CENTER,2025-02-23 14:26:10.993733
170,LEFT,2025-02-23 14:26:10.993733
171,LEFT,2025-02-23 14:26:10.993733
172,LEFT,2025-02-23 14:26:10.993733
173,RIGHT,2025-02-23 14:26:10.993733
174,RIGHT,2025-02-23 14:26:10.993733
175,RIGHT,2025-02-23 14:26:10.993733
176,CENTER,2025-02-23 14:26:10.993733
177,CENTER,2025-02-23 14:26:10.993733
178,CENTER,2025-02-23 14:26:10.993733
179,CENTER,2025-02-23 14:26:10.993733
180,CENTER,2025-02-23 14:26:10.993733
181,RIGHT,2025-02-23 14:26:10.993733
182,RIGHT,2025-02-23 14:26:10.993733
183,CENTER,2025-02-23 14:26:10.993733
184,RIGHT,2025-02-23 14:26:10.993733
185,RIGHT,2025-02-23 14:26:10.993733
186,CENTER,2025-02-23 14:26:10.993733
187,RIGHT,2025-02-23 14:26:10.993733
188,RIGHT,2025-02-23 14:26:10.993733
189,CENTER,2025-02-23 14:26:10.993733
190,CENTER,2025-02-23 14:26:10.993733
191,CENTER,2025-02-23 14:26:10.993733
192,CENTER,2025-02-23 14:26:10.993733
193,CENTER,2025-02-23 14:26:10.993733
194,CENTER,2025-02-23 14:26:10.993733
195,CENTER,2025-02-23 14:26:10.993733
196,CENTER,2025-02-23 14:26:10.993733
197,Blinking,2025-02-23 14:26:10.993733
198,Blinking,2025-02-23 14:26:10.993733
199,CENTER,2025-02-23 14:26:10.993733
200,CENTER,2025-02-23 14:26:10.993733
201,CENTER,2025-02-23 14:26:10.993733
202,CENTER,2025-02-23 14:26:10.993733
203,CENTER,2025-02-23 14:26:10.993733
204,CENTER,2025-02-23 14:26:10.993733
205,CENTER,2025-02-23 14:26:10.993733
206,CENTER,2025-02-23 14:26:10.993733
207,CENTER,2025-02-23 14:26:10.993733
208,CENTER,2025-02-23 14:26:10.993733
209,CENTER,2025-02-23 14:26:10.993733
210,CENTER,2025-02-23 14:26:10.993733
211,CENTER,2025-02-23 14:26:10.993733
212,CENTER,2025-02-23 14:26:10.993733
213,CENTER,2025-02-23 14:26:10.993733
214,CENTER,2025-02-23 14:26:10.993733
