,Eye Detection,Time
0,Blinking,2025-02-18 10:21:47.929138
1,Looking left,2025-02-18 10:21:50.610939
2,Looking left,2025-02-18 10:21:52.529674
3,Looking left,2025-02-18 10:21:53.125747
4,Looking left,2025-02-18 10:21:53.736810
5,Looking left,2025-02-18 10:21:54.336873
6,Looking left,2025-02-18 10:21:54.926933
7,Looking left,2025-02-18 10:21:55.539003
8,Looking left,2025-02-18 10:21:56.145669
9,Looking left,2025-02-18 10:21:56.751745
10,Looking left,2025-02-18 10:21:57.352810
11,Looking left,2025-02-18 10:21:57.947878
12,Looking left,2025-02-18 10:21:58.517937
13,Looking left,2025-02-18 10:21:59.104033
14,Looking left,2025-02-18 10:21:59.680613
15,Looking left,2025-02-18 10:22:04.911243
16,Looking left,2025-02-18 10:22:08.963117
17,Looking left,2025-02-18 10:22:10.757000
18,Looking left,2025-02-18 10:22:11.343075
19,Looking left,2025-02-18 10:22:11.908742
20,Looking left,2025-02-18 10:22:12.499715
21,Looking left,2025-02-18 10:22:13.103603
22,Looking left,2025-02-18 10:22:13.694265
23,Blinking,2025-02-18 10:22:14.286910
24,Looking left,2025-02-18 10:22:14.890023
25,Looking left,2025-02-18 10:22:19.513844
26,Looking left,2025-02-18 10:22:20.127914
27,Looking left,2025-02-18 10:22:21.355058
28,Looking left,2025-02-18 10:22:22.594720
29,Looking left,2025-02-18 10:22:23.828868
30,Looking left,2025-02-18 10:22:25.083006
31,Looking left,2025-02-18 10:22:25.699583
32,Looking left,2025-02-18 10:22:26.317656
