,Eye Detection,Time
0,Looking left,2025-02-18 10:13:43.162573
1,Looking left,2025-02-18 10:13:44.171684
2,Looking left,2025-02-18 10:13:44.802766
3,Blinking,2025-02-18 10:13:45.520358
4,Looking left,2025-02-18 10:13:46.127431
5,Looking left,2025-02-18 10:13:47.311532
6,Blinking,2025-02-18 10:13:47.905280
7,Looking left,2025-02-18 10:13:48.495350
8,Looking left,2025-02-18 10:13:49.088420
9,Looking left,2025-02-18 10:13:49.692086
10,Looking center,2025-02-18 10:13:50.258144
11,Looking center,2025-02-18 10:13:50.847212
12,Looking center,2025-02-18 10:13:51.403766
13,Looking center,2025-02-18 10:13:51.970825
14,Looking center,2025-02-18 10:13:52.542902
15,Blinking,2025-02-18 10:13:53.117470
16,Looking left,2025-02-18 10:13:53.700551
17,Looking left,2025-02-18 10:13:54.277625
18,Looking center,2025-02-18 10:13:54.875689
19,Looking center,2025-02-18 10:13:56.025328
20,Looking left,2025-02-18 10:13:56.617393
21,Looking left,2025-02-18 10:13:57.229467
22,Looking left,2025-02-18 10:13:58.466109
23,Blinking,2025-02-18 10:13:59.098173
24,Looking center,2025-02-18 10:13:59.857261
25,Looking left,2025-02-18 10:14:01.057400
26,Blinking,2025-02-18 10:14:01.646476
27,Looking left,2025-02-18 10:14:02.252545
28,Blinking,2025-02-18 10:14:02.913614
29,Looking left,2025-02-18 10:14:05.304902
30,Looking left,2025-02-18 10:14:05.897988
31,Looking left,2025-02-18 10:14:19.554667
32,Looking left,2025-02-18 10:14:20.162736
33,Blinking,2025-02-18 10:14:20.767982
34,Looking left,2025-02-18 10:14:21.370047
35,Blinking,2025-02-18 10:14:21.973593
36,Looking left,2025-02-18 10:14:22.543230
37,Blinking,2025-02-18 10:14:23.132287
38,Blinking,2025-02-18 10:14:23.696348
39,Looking center,2025-02-18 10:14:24.272417
40,Looking center,2025-02-18 10:14:24.847154
41,Blinking,2025-02-18 10:14:25.424706
42,Looking left,2025-02-18 10:14:26.010322
43,Looking center,2025-02-18 10:14:26.587388
44,Looking center,2025-02-18 10:14:27.165470
45,Looking center,2025-02-18 10:14:27.758535
46,Looking center,2025-02-18 10:14:28.366336
47,Looking center,2025-02-18 10:14:28.975397
48,Blinking,2025-02-18 10:14:29.612462
49,Blinking,2025-02-18 10:14:30.208532
50,Looking left,2025-02-18 10:14:30.872614
51,Looking center,2025-02-18 10:14:31.449683
52,Looking center,2025-02-18 10:14:32.055740
53,Looking left,2025-02-18 10:14:33.187221
54,Looking left,2025-02-18 10:14:33.801277
55,Looking center,2025-02-18 10:14:34.383358
56,Blinking,2025-02-18 10:14:34.959460
57,Looking left,2025-02-18 10:14:36.138057
58,Looking left,2025-02-18 10:14:36.718116
59,Looking left,2025-02-18 10:14:37.314179
60,Looking left,2025-02-18 10:14:37.874424
61,Looking left,2025-02-18 10:14:38.433984
62,Looking left,2025-02-18 10:14:39.009058
63,Looking left,2025-02-18 10:14:40.201209
64,Looking left,2025-02-18 10:14:40.777288
65,Blinking,2025-02-18 10:14:41.959484
66,Looking center,2025-02-18 10:14:42.540809
67,Blinking,2025-02-18 10:14:44.877182
68,Blinking,2025-02-18 10:14:57.674486
69,Blinking,2025-02-18 10:14:58.876521
70,Blinking,2025-02-18 10:14:59.467589
71,Looking left,2025-02-18 10:15:48.951871
72,Looking left,2025-02-18 10:15:49.529942
73,Looking left,2025-02-18 10:15:50.108013
74,Looking left,2025-02-18 10:15:50.672080
75,Blinking,2025-02-18 10:15:51.239653
76,Blinking,2025-02-18 10:15:51.804721
77,Looking left,2025-02-18 10:15:52.375833
78,Blinking,2025-02-18 10:15:52.951434
79,Looking left,2025-02-18 10:15:53.520496
80,Looking center,2025-02-18 10:15:54.101576
81,Looking center,2025-02-18 10:15:54.679628
82,Looking left,2025-02-18 10:15:55.260692
83,Looking left,2025-02-18 10:15:55.830889
84,Blinking,2025-02-18 10:15:56.426958
85,Looking left,2025-02-18 10:15:57.020083
86,Blinking,2025-02-18 10:15:57.574161
87,Blinking,2025-02-18 10:15:58.155217
88,Looking left,2025-02-18 10:15:58.699783
89,Looking left,2025-02-18 10:15:59.864827
90,Looking left,2025-02-18 10:16:00.419386
91,Looking left,2025-02-18 10:16:00.985445
92,Looking left,2025-02-18 10:16:01.547026
93,Looking left,2025-02-18 10:16:02.143123
94,Looking left,2025-02-18 10:16:02.705185
95,Looking left,2025-02-18 10:16:03.322853
96,Looking left,2025-02-18 10:16:03.921541
97,Looking left,2025-02-18 10:16:04.542618
98,Looking left,2025-02-18 10:16:05.103695
99,Looking left,2025-02-18 10:16:05.716768
100,Looking left,2025-02-18 10:16:06.345845
101,Blinking,2025-02-18 10:16:06.963422
102,Blinking,2025-02-18 10:16:07.520974
103,Blinking,2025-02-18 10:16:08.110631
104,Looking left,2025-02-18 10:16:12.948759
105,Blinking,2025-02-18 10:16:13.554832
106,Looking left,2025-02-18 10:16:14.137904
107,Blinking,2025-02-18 10:16:14.694986
