Eye Detection,Time
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:46
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:47
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
CENTER,22:47:48
Blinking,22:47:48
Blinking,22:47:48
Blinking,22:47:48
CENTER,22:47:48
CENTER,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:48
LEFT,22:47:49
LEFT,22:47:49
LEFT,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
CENTER,22:47:49
LEFT,22:47:49
LEFT,22:47:50
CENTER,22:47:50
LEFT,22:47:50
LEFT,22:47:50
CENTER,22:47:50
CENTER,22:47:50
CENTER,22:47:50
CENTER,22:47:50
CENTER,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:50
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
LEFT,22:47:51
CENTER,22:47:52
CENTER,22:47:52
CENTER,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
CENTER,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:52
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
LEFT,22:47:53
CENTER,22:47:53
CENTER,22:47:53
CENTER,22:47:53
CENTER,22:47:53
CENTER,22:47:53
CENTER,22:47:53
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
CENTER,22:47:54
Blinking,22:47:54
Blinking,22:47:54
CENTER,22:47:54
CENTER,22:47:54
