Eye Detection,Time
CENTER,14:45:37
CENTER,14:45:37
CENTER,14:45:37
CENTER,14:45:37
CENTER,14:45:37
CENTER,14:45:37
RIGHT,14:45:37
RIGHT,14:45:37
CENTER,14:45:37
CENTER,14:45:37
RIGHT,14:45:37
CENTER,14:45:37
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:38
RIGHT,14:45:39
RIGHT,14:45:39
RIGHT,14:45:39
RIGHT,14:45:39
RIGHT,14:45:39
RIGHT,14:45:39
RIGHT,14:45:39
RIGHT,14:45:39
RIGHT,14:45:39
CENTER,14:45:39
LEFT,14:45:39
CENTER,14:45:39
CENTER,14:45:39
CENTER,14:45:39
CENTER,14:45:39
CENTER,14:45:39
CENTER,14:45:39
CENTER,14:45:39
CENTER,14:45:39
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
LEFT,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
CENTER,14:45:40
RIGHT,14:45:40
RIGHT,14:45:41
RIGHT,14:45:41
RIGHT,14:45:41
RIGHT,14:45:41
RIGHT,14:45:41
RIGHT,14:45:41
RIGHT,14:45:41
RIGHT,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:41
RIGHT,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:41
LEFT,14:45:41
CENTER,14:45:41
LEFT,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:41
CENTER,14:45:42
Blinking,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
CENTER,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
CENTER,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
CENTER,14:45:42
CENTER,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
CENTER,14:45:42
CENTER,14:45:42
RIGHT,14:45:42
CENTER,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
RIGHT,14:45:42
RIGHT,14:45:43
RIGHT,14:45:43
RIGHT,14:45:43
RIGHT,14:45:43
Blinking,14:45:43
Blinking,14:45:43
Blinking,14:45:43
CENTER,14:45:43
CENTER,14:45:43
CENTER,14:45:43
RIGHT,14:45:43
RIGHT,14:45:43
RIGHT,14:45:43
RIGHT,14:45:43
