Eye Detection,Time
CENTER,14:29:08
CENTER,14:29:08
CENTER,14:29:08
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:09
CENTER,14:29:10
CENTER,14:29:10
RIGHT,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:10
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:11
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
Blinking,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:12
Blinking,14:29:12
CENTER,14:29:12
CENTER,14:29:12
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
RIGHT,14:29:13
CENTER,14:29:13
RIGHT,14:29:13
RIGHT,14:29:13
RIGHT,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
RIGHT,14:29:13
RIGHT,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:13
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:14
CENTER,14:29:15
CENTER,14:29:15
LEFT,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
RIGHT,14:29:15
RIGHT,14:29:15
RIGHT,14:29:15
RIGHT,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:15
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:16
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:17
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:18
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
CENTER,14:29:19
