,Eye Detection,Time
0,Blinking,2025-02-12 18:44:50.716962
1,,2025-02-12 18:44:51.568086
2,,2025-02-12 18:44:52.120738
3,,2025-02-12 18:44:52.687333
4,,2025-02-12 18:44:53.232174
5,,2025-02-12 18:44:53.791359
6,,2025-02-12 18:44:54.362871
7,,2025-02-12 18:44:54.919166
8,,2025-02-12 18:44:55.485843
9,,2025-02-12 18:44:56.072510
10,,2025-02-12 18:44:56.653063
11,,2025-02-12 18:44:57.200564
12,,2025-02-12 18:44:57.750426
13,,2025-02-12 18:44:58.314017
14,,2025-02-12 18:44:58.854745
15,,2025-02-12 18:44:59.406899
16,,2025-02-12 18:44:59.951982
17,,2025-02-12 18:45:00.508301
18,,2025-02-12 18:45:01.053970
19,,2025-02-12 18:45:01.608806
20,,2025-02-12 18:45:02.152431
21,,2025-02-12 18:45:02.706288
22,,2025-02-12 18:45:03.249809
23,,2025-02-12 18:45:03.808914
24,,2025-02-12 18:45:04.348680
25,,2025-02-12 18:45:04.901881
26,,2025-02-12 18:45:05.459373
27,,2025-02-12 18:45:06.014861
28,,2025-02-12 18:45:06.631973
29,,2025-02-12 18:45:07.180565
30,Looking left,2025-02-12 18:45:07.726108
31,Looking left,2025-02-12 18:45:08.272644
32,Looking left,2025-02-12 18:45:08.818527
33,Looking left,2025-02-12 18:45:09.359472
34,Looking left,2025-02-12 18:45:09.902612
35,Looking left,2025-02-12 18:45:10.465788
36,Looking left,2025-02-12 18:45:11.020282
37,Looking left,2025-02-12 18:45:11.578702
38,Looking center,2025-02-12 18:45:12.151057
39,Looking center,2025-02-12 18:45:12.708999
40,Blinking,2025-02-12 18:45:13.267363
41,Looking left,2025-02-12 18:45:13.819723
42,Looking left,2025-02-12 18:45:14.377878
43,Looking center,2025-02-12 18:45:14.927585
44,Looking left,2025-02-12 18:45:15.478946
45,Looking left,2025-02-12 18:45:16.015647
46,Looking left,2025-02-12 18:45:16.561183
47,Blinking,2025-02-12 18:45:17.116215
48,Blinking,2025-02-12 18:45:17.653719
