Emotion Detection,Time
sad,2025-07-17 14:01:10
sad,2025-07-17 14:01:10
sad,2025-07-17 14:01:10
sad,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
angry,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
neutral,2025-07-17 14:01:11
happy,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
neutral,2025-07-17 14:01:11
neutral,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
neutral,2025-07-17 14:01:11
fear,2025-07-17 14:01:11
angry,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
angry,2025-07-17 14:01:11
neutral,2025-07-17 14:01:11
neutral,2025-07-17 14:01:11
sad,2025-07-17 14:01:11
angry,2025-07-17 14:01:11
neutral,2025-07-17 14:01:11
neutral,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
neutral,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
angry,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
sad,2025-07-17 14:01:12
fear,2025-07-17 14:01:12
neutral,2025-07-17 14:01:12
angry,2025-07-17 14:01:12
angry,2025-07-17 14:01:12
angry,2025-07-17 14:01:12
neutral,2025-07-17 14:01:12
neutral,2025-07-17 14:01:12
angry,2025-07-17 14:01:12
neutral,2025-07-17 14:01:12
neutral,2025-07-17 14:01:12
neutral,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
angry,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
sad,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
angry,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
sad,2025-07-17 14:01:13
sad,2025-07-17 14:01:13
angry,2025-07-17 14:01:13
sad,2025-07-17 14:01:13
sad,2025-07-17 14:01:13
neutral,2025-07-17 14:01:13
angry,2025-07-17 14:01:13
angry,2025-07-17 14:01:13
sad,2025-07-17 14:01:13
sad,2025-07-17 14:01:14
angry,2025-07-17 14:01:14
neutral,2025-07-17 14:01:14
fear,2025-07-17 14:01:14
neutral,2025-07-17 14:01:14
happy,2025-07-17 14:01:14
angry,2025-07-17 14:01:14
fear,2025-07-17 14:01:14
happy,2025-07-17 14:01:14
angry,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
happy,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
angry,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
neutral,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
neutral,2025-07-17 14:01:14
happy,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
neutral,2025-07-17 14:01:14
happy,2025-07-17 14:01:14
neutral,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
happy,2025-07-17 14:01:14
happy,2025-07-17 14:01:14
sad,2025-07-17 14:01:14
neutral,2025-07-17 14:01:14
