Emotion Detection,Time
neutral,2025-07-23 12:03:59
neutral,2025-07-23 12:03:59
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:00
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
sad,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:01
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
neutral,2025-07-23 12:04:02
fear,2025-07-23 12:04:03
sad,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:03
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:04
neutral,2025-07-23 12:04:05
fear,2025-07-23 12:04:05
sad,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
fear,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
sad,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
neutral,2025-07-23 12:04:05
sad,2025-07-23 12:04:06
neutral,2025-07-23 12:04:06
sad,2025-07-23 12:04:06
sad,2025-07-23 12:04:07
sad,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
sad,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
sad,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
neutral,2025-07-23 12:04:07
sad,2025-07-23 12:04:08
neutral,2025-07-23 12:04:08
sad,2025-07-23 12:04:08
neutral,2025-07-23 12:04:08
neutral,2025-07-23 12:04:08
neutral,2025-07-23 12:04:08
neutral,2025-07-23 12:04:08
angry,2025-07-23 12:04:08
neutral,2025-07-23 12:04:08
neutral,2025-07-23 12:04:08
neutral,2025-07-23 12:04:09
neutral,2025-07-23 12:04:09
neutral,2025-07-23 12:04:16
sad,2025-07-23 12:04:16
sad,2025-07-23 12:04:16
sad,2025-07-23 12:04:16
neutral,2025-07-23 12:04:16
sad,2025-07-23 12:04:16
sad,2025-07-23 12:04:16
neutral,2025-07-23 12:04:16
neutral,2025-07-23 12:04:16
neutral,2025-07-23 12:04:17
angry,2025-07-23 12:04:18
angry,2025-07-23 12:04:18
angry,2025-07-23 12:04:19
neutral,2025-07-23 12:04:22
neutral,2025-07-23 12:04:22
neutral,2025-07-23 12:04:22
neutral,2025-07-23 12:04:22
neutral,2025-07-23 12:04:22
neutral,2025-07-23 12:04:22
angry,2025-07-23 12:04:22
angry,2025-07-23 12:04:22
neutral,2025-07-23 12:04:22
angry,2025-07-23 12:04:22
neutral,2025-07-23 12:04:22
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
angry,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
sad,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:23
neutral,2025-07-23 12:04:24
neutral,2025-07-23 12:04:24
neutral,2025-07-23 12:04:24
neutral,2025-07-23 12:04:24
neutral,2025-07-23 12:04:24
neutral,2025-07-23 12:04:24
neutral,2025-07-23 12:04:24
neutral,2025-07-23 12:04:24
