Emotion Detection,Time
neutral,2025-07-15 13:25:45
sad,2025-07-15 13:25:46
sad,2025-07-15 13:25:46
sad,2025-07-15 13:25:46
neutral,2025-07-15 13:25:46
sad,2025-07-15 13:25:46
sad,2025-07-15 13:25:46
sad,2025-07-15 13:25:46
angry,2025-07-15 13:25:46
sad,2025-07-15 13:25:46
angry,2025-07-15 13:25:47
sad,2025-07-15 13:25:47
sad,2025-07-15 13:25:47
fear,2025-07-15 13:25:47
fear,2025-07-15 13:25:47
fear,2025-07-15 13:25:47
sad,2025-07-15 13:25:47
fear,2025-07-15 13:25:47
neutral,2025-07-15 13:25:47
neutral,2025-07-15 13:25:47
angry,2025-07-15 13:25:47
sad,2025-07-15 13:25:47
sad,2025-07-15 13:25:47
sad,2025-07-15 13:25:47
sad,2025-07-15 13:25:47
sad,2025-07-15 13:25:48
sad,2025-07-15 13:25:48
sad,2025-07-15 13:25:48
sad,2025-07-15 13:25:48
neutral,2025-07-15 13:25:48
sad,2025-07-15 13:25:48
neutral,2025-07-15 13:25:48
neutral,2025-07-15 13:25:48
angry,2025-07-15 13:25:48
sad,2025-07-15 13:25:48
sad,2025-07-15 13:25:48
angry,2025-07-15 13:25:48
angry,2025-07-15 13:25:48
neutral,2025-07-15 13:25:48
neutral,2025-07-15 13:25:48
sad,2025-07-15 13:25:49
sad,2025-07-15 13:25:49
angry,2025-07-15 13:25:49
fear,2025-07-15 13:25:49
neutral,2025-07-15 13:25:49
neutral,2025-07-15 13:25:49
sad,2025-07-15 13:25:49
sad,2025-07-15 13:25:49
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
neutral,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:50
sad,2025-07-15 13:25:51
fear,2025-07-15 13:25:51
fear,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
fear,2025-07-15 13:25:51
neutral,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
angry,2025-07-15 13:25:51
neutral,2025-07-15 13:25:52
angry,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
angry,2025-07-15 13:25:52
angry,2025-07-15 13:25:52
angry,2025-07-15 13:25:52
angry,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
neutral,2025-07-15 13:25:52
sad,2025-07-15 13:25:53
neutral,2025-07-15 13:25:53
fear,2025-07-15 13:25:53
sad,2025-07-15 13:25:53
sad,2025-07-15 13:25:53
sad,2025-07-15 13:25:53
angry,2025-07-15 13:25:53
sad,2025-07-15 13:25:53
fear,2025-07-15 13:25:53
fear,2025-07-15 13:25:53
fear,2025-07-15 13:25:53
neutral,2025-07-15 13:25:53
neutral,2025-07-15 13:25:53
neutral,2025-07-15 13:25:53
angry,2025-07-15 13:25:53
angry,2025-07-15 13:25:54
neutral,2025-07-15 13:25:54
fear,2025-07-15 13:25:54
fear,2025-07-15 13:25:54
neutral,2025-07-15 13:25:54
fear,2025-07-15 13:25:54
fear,2025-07-15 13:25:54
sad,2025-07-15 13:25:54
sad,2025-07-15 13:25:54
neutral,2025-07-15 13:25:54
neutral,2025-07-15 13:25:54
sad,2025-07-15 13:25:54
neutral,2025-07-15 13:25:54
neutral,2025-07-15 13:25:54
sad,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
sad,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
sad,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
sad,2025-07-15 13:25:55
sad,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
neutral,2025-07-15 13:25:55
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
neutral,2025-07-15 13:25:57
sad,2025-07-15 13:25:57
sad,2025-07-15 13:25:58
neutral,2025-07-15 13:25:58
sad,2025-07-15 13:25:58
neutral,2025-07-15 13:25:58
neutral,2025-07-15 13:25:58
neutral,2025-07-15 13:25:58
sad,2025-07-15 13:25:58
neutral,2025-07-15 13:25:58
