Emotion Detection,Time
angry,2025-07-24 13:50:36
angry,2025-07-24 13:50:37
neutral,2025-07-24 13:50:37
neutral,2025-07-24 13:50:37
angry,2025-07-24 13:50:37
angry,2025-07-24 13:50:37
angry,2025-07-24 13:50:37
angry,2025-07-24 13:50:38
angry,2025-07-24 13:50:38
angry,2025-07-24 13:50:38
angry,2025-07-24 13:50:38
angry,2025-07-24 13:50:38
angry,2025-07-24 13:50:38
angry,2025-07-24 13:50:38
angry,2025-07-24 13:50:38
neutral,2025-07-24 13:50:38
neutral,2025-07-24 13:50:38
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:39
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:40
angry,2025-07-24 13:50:41
angry,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:41
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:42
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:43
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:44
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
angry,2025-07-24 13:50:45
angry,2025-07-24 13:50:45
neutral,2025-07-24 13:50:45
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
neutral,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:46
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
neutral,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:47
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:48
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:49
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:50
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
neutral,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:51
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:52
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:53
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:54
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:55
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:56
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
neutral,2025-07-24 13:50:57
angry,2025-07-24 13:50:57
angry,2025-07-24 13:50:58
angry,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
angry,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:58
neutral,2025-07-24 13:50:59
neutral,2025-07-24 13:50:59
neutral,2025-07-24 13:50:59
neutral,2025-07-24 13:50:59
neutral,2025-07-24 13:50:59
neutral,2025-07-24 13:50:59
angry,2025-07-24 13:50:59
angry,2025-07-24 13:50:59
angry,2025-07-24 13:50:59
