Emotion Detection,Time
happy,2025-07-24 14:04:03
angry,2025-07-24 14:04:04
angry,2025-07-24 14:04:04
happy,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:04
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
neutral,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
happy,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
happy,2025-07-24 14:04:05
sad,2025-07-24 14:04:05
happy,2025-07-24 14:04:07
happy,2025-07-24 14:04:07
happy,2025-07-24 14:04:08
happy,2025-07-24 14:04:08
happy,2025-07-24 14:04:08
fear,2025-07-24 14:04:08
happy,2025-07-24 14:04:08
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:09
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
happy,2025-07-24 14:04:10
fear,2025-07-24 14:04:11
fear,2025-07-24 14:04:11
fear,2025-07-24 14:04:11
fear,2025-07-24 14:04:11
sad,2025-07-24 14:04:11
happy,2025-07-24 14:04:11
fear,2025-07-24 14:04:11
fear,2025-07-24 14:04:11
fear,2025-07-24 14:04:13
fear,2025-07-24 14:04:13
fear,2025-07-24 14:04:14
fear,2025-07-24 14:04:14
fear,2025-07-24 14:04:14
fear,2025-07-24 14:04:14
fear,2025-07-24 14:04:14
fear,2025-07-24 14:04:14
fear,2025-07-24 14:04:14
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
happy,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:15
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
fear,2025-07-24 14:04:16
happy,2025-07-24 14:04:18
neutral,2025-07-24 14:04:18
neutral,2025-07-24 14:04:18
fear,2025-07-24 14:04:18
fear,2025-07-24 14:04:18
sad,2025-07-24 14:04:18
fear,2025-07-24 14:04:18
neutral,2025-07-24 14:04:19
neutral,2025-07-24 14:04:19
neutral,2025-07-24 14:04:19
fear,2025-07-24 14:04:19
neutral,2025-07-24 14:04:19
neutral,2025-07-24 14:04:19
surprise,2025-07-24 14:04:20
happy,2025-07-24 14:04:21
happy,2025-07-24 14:04:21
happy,2025-07-24 14:04:21
happy,2025-07-24 14:04:21
happy,2025-07-24 14:04:21
fear,2025-07-24 14:04:22
fear,2025-07-24 14:04:22
fear,2025-07-24 14:04:22
neutral,2025-07-24 14:04:22
neutral,2025-07-24 14:04:22
happy,2025-07-24 14:04:22
neutral,2025-07-24 14:04:22
neutral,2025-07-24 14:04:22
happy,2025-07-24 14:04:22
neutral,2025-07-24 14:04:22
neutral,2025-07-24 14:04:23
happy,2025-07-24 14:04:23
neutral,2025-07-24 14:04:23
sad,2025-07-24 14:04:23
sad,2025-07-24 14:04:23
sad,2025-07-24 14:04:23
angry,2025-07-24 14:04:23
angry,2025-07-24 14:04:23
sad,2025-07-24 14:04:23
sad,2025-07-24 14:04:23
happy,2025-07-24 14:04:23
angry,2025-07-24 14:04:23
surprise,2025-07-24 14:04:23
happy,2025-07-24 14:04:23
sad,2025-07-24 14:04:23
happy,2025-07-24 14:04:24
angry,2025-07-24 14:04:24
