Emotion Detection,Time
angry,2025-07-15 13:41:42
angry,2025-07-15 13:41:43
angry,2025-07-15 13:41:43
angry,2025-07-15 13:41:43
angry,2025-07-15 13:41:43
angry,2025-07-15 13:41:43
angry,2025-07-15 13:41:43
angry,2025-07-15 13:41:44
angry,2025-07-15 13:41:44
angry,2025-07-15 13:41:44
angry,2025-07-15 13:41:44
happy,2025-07-15 13:41:44
happy,2025-07-15 13:41:44
sad,2025-07-15 13:41:44
sad,2025-07-15 13:41:44
angry,2025-07-15 13:41:44
angry,2025-07-15 13:41:45
angry,2025-07-15 13:41:45
angry,2025-07-15 13:41:45
angry,2025-07-15 13:41:45
angry,2025-07-15 13:41:45
sad,2025-07-15 13:41:45
angry,2025-07-15 13:41:45
angry,2025-07-15 13:41:45
angry,2025-07-15 13:41:46
angry,2025-07-15 13:41:46
angry,2025-07-15 13:41:46
angry,2025-07-15 13:41:46
sad,2025-07-15 13:41:46
sad,2025-07-15 13:41:46
sad,2025-07-15 13:41:46
angry,2025-07-15 13:41:46
angry,2025-07-15 13:41:47
angry,2025-07-15 13:41:47
angry,2025-07-15 13:41:47
sad,2025-07-15 13:41:47
sad,2025-07-15 13:41:47
angry,2025-07-15 13:41:47
angry,2025-07-15 13:41:47
angry,2025-07-15 13:41:47
angry,2025-07-15 13:41:48
angry,2025-07-15 13:41:48
angry,2025-07-15 13:41:48
happy,2025-07-15 13:41:48
happy,2025-07-15 13:41:48
angry,2025-07-15 13:41:48
angry,2025-07-15 13:41:48
angry,2025-07-15 13:41:48
angry,2025-07-15 13:41:49
angry,2025-07-15 13:41:49
angry,2025-07-15 13:41:49
angry,2025-07-15 13:41:49
neutral,2025-07-15 13:41:49
angry,2025-07-15 13:41:49
neutral,2025-07-15 13:41:49
neutral,2025-07-15 13:41:50
neutral,2025-07-15 13:41:50
neutral,2025-07-15 13:41:50
angry,2025-07-15 13:41:50
neutral,2025-07-15 13:41:50
angry,2025-07-15 13:41:50
angry,2025-07-15 13:41:50
angry,2025-07-15 13:41:50
angry,2025-07-15 13:41:51
neutral,2025-07-15 13:41:51
neutral,2025-07-15 13:41:51
neutral,2025-07-15 13:41:51
neutral,2025-07-15 13:41:51
angry,2025-07-15 13:41:51
angry,2025-07-15 13:41:51
neutral,2025-07-15 13:41:51
neutral,2025-07-15 13:41:52
angry,2025-07-15 13:41:52
neutral,2025-07-15 13:41:52
neutral,2025-07-15 13:41:52
neutral,2025-07-15 13:41:52
neutral,2025-07-15 13:41:52
neutral,2025-07-15 13:41:52
neutral,2025-07-15 13:41:52
neutral,2025-07-15 13:41:53
neutral,2025-07-15 13:41:53
neutral,2025-07-15 13:41:53
angry,2025-07-15 13:41:53
neutral,2025-07-15 13:41:53
neutral,2025-07-15 13:41:53
sad,2025-07-15 13:41:53
neutral,2025-07-15 13:41:53
angry,2025-07-15 13:41:53
angry,2025-07-15 13:41:54
angry,2025-07-15 13:41:54
angry,2025-07-15 13:41:54
sad,2025-07-15 13:41:54
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:55
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:56
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
fear,2025-07-15 13:41:57
neutral,2025-07-15 13:41:58
happy,2025-07-15 13:41:58
happy,2025-07-15 13:41:58
fear,2025-07-15 13:41:58
happy,2025-07-15 13:41:58
neutral,2025-07-15 13:41:58
neutral,2025-07-15 13:41:58
neutral,2025-07-15 13:41:58
neutral,2025-07-15 13:41:58
happy,2025-07-15 13:41:58
happy,2025-07-15 13:41:58
happy,2025-07-15 13:41:59
neutral,2025-07-15 13:41:59
