Emotion Detection,Time
neutral,2025-07-15 12:43:11
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:12
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:13
neutral,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
neutral,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
sad,2025-07-15 12:43:14
sad,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
sad,2025-07-15 12:43:15
sad,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
sad,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
sad,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:15
neutral,2025-07-15 12:43:16
angry,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
neutral,2025-07-15 12:43:16
sad,2025-07-15 12:43:16
sad,2025-07-15 12:43:16
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:17
sad,2025-07-15 12:43:18
sad,2025-07-15 12:43:18
sad,2025-07-15 12:43:18
sad,2025-07-15 12:43:18
sad,2025-07-15 12:43:18
sad,2025-07-15 12:43:18
sad,2025-07-15 12:43:18
angry,2025-07-15 12:43:18
angry,2025-07-15 12:43:18
neutral,2025-07-15 12:43:18
sad,2025-07-15 12:43:18
neutral,2025-07-15 12:43:18
angry,2025-07-15 12:43:18
neutral,2025-07-15 12:43:19
angry,2025-07-15 12:43:19
angry,2025-07-15 12:43:19
angry,2025-07-15 12:43:19
angry,2025-07-15 12:43:19
