Emotion Detection,Time
fear,2025-08-13 13:50:45
neutral,2025-08-13 13:50:47
neutral,2025-08-13 13:50:47
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:48
neutral,2025-08-13 13:50:50
happy,2025-08-13 13:50:50
fear,2025-08-13 13:50:50
fear,2025-08-13 13:50:50
fear,2025-08-13 13:50:50
neutral,2025-08-13 13:50:50
neutral,2025-08-13 13:50:50
fear,2025-08-13 13:50:50
neutral,2025-08-13 13:50:50
fear,2025-08-13 13:50:51
happy,2025-08-13 13:50:51
fear,2025-08-13 13:50:51
neutral,2025-08-13 13:50:51
happy,2025-08-13 13:50:52
neutral,2025-08-13 13:50:52
neutral,2025-08-13 13:50:52
neutral,2025-08-13 13:50:53
neutral,2025-08-13 13:50:53
neutral,2025-08-13 13:50:53
neutral,2025-08-13 13:50:53
fear,2025-08-13 13:50:55
fear,2025-08-13 13:50:55
happy,2025-08-13 13:50:56
neutral,2025-08-13 13:50:57
fear,2025-08-13 13:50:58
fear,2025-08-13 13:50:58
fear,2025-08-13 13:50:58
neutral,2025-08-13 13:50:58
neutral,2025-08-13 13:50:58
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:00
neutral,2025-08-13 13:51:01
neutral,2025-08-13 13:51:01
neutral,2025-08-13 13:51:01
neutral,2025-08-13 13:51:01
neutral,2025-08-13 13:51:01
neutral,2025-08-13 13:51:01
neutral,2025-08-13 13:51:01
