Emotion Detection,Time
non stress,13:50:25
non stress,13:50:27
non stress,13:50:27
non stress,13:50:28
non stress,13:50:28
non stress,13:50:28
high stress,13:50:28
non stress,13:50:28
non stress,13:50:28
non stress,13:50:28
non stress,13:50:28
non stress,13:50:28
non stress,13:50:29
non stress,13:50:29
non stress,13:50:29
non stress,13:50:29
non stress,13:50:29
non stress,13:50:29
non stress,13:50:29
non stress,13:50:29
non stress,13:50:29
non stress,13:50:30
non stress,13:50:30
non stress,13:50:30
non stress,13:50:30
non stress,13:50:30
non stress,13:50:30
non stress,13:50:30
non stress,13:50:30
non stress,13:50:30
non stress,13:50:31
non stress,13:50:31
high stress,13:50:31
non stress,13:50:31
non stress,13:50:31
non stress,13:50:31
non stress,13:50:31
non stress,13:50:31
non stress,13:50:31
non stress,13:50:32
non stress,13:50:32
non stress,13:50:32
non stress,13:50:32
non stress,13:50:32
non stress,13:50:32
non stress,13:50:32
non stress,13:50:32
non stress,13:50:32
non stress,13:50:33
non stress,13:50:33
non stress,13:50:33
non stress,13:50:33
high stress,13:50:33
high stress,13:50:33
high stress,13:50:34
high stress,13:50:34
high stress,13:50:34
high stress,13:50:34
high stress,13:50:34
high stress,13:50:34
high stress,13:50:35
high stress,13:50:35
high stress,13:50:35
high stress,13:50:35
non stress,13:50:35
high stress,13:50:35
high stress,13:50:36
high stress,13:50:36
high stress,13:50:36
high stress,13:50:36
non stress,13:50:36
high stress,13:50:36
high stress,13:50:36
high stress,13:50:37
high stress,13:50:37
high stress,13:50:37
high stress,13:50:37
high stress,13:50:37
non stress,13:50:37
non stress,13:50:38
non stress,13:50:38
non stress,13:50:38
non stress,13:50:38
non stress,13:50:38
non stress,13:50:38
high stress,13:50:39
high stress,13:50:39
high stress,13:50:39
high stress,13:50:39
non stress,13:50:39
high stress,13:50:39
non stress,13:50:40
non stress,13:50:40
non stress,13:50:40
non stress,13:50:40
non stress,13:50:40
high stress,13:50:41
non stress,13:50:41
non stress,13:50:41
high stress,13:50:41
non stress,13:50:41
non stress,13:50:42
non stress,13:50:42
non stress,13:50:42
non stress,13:50:42
non stress,13:50:42
non stress,13:50:43
non stress,13:50:43
non stress,13:50:43
non stress,13:50:43
non stress,13:50:43
non stress,13:50:43
non stress,13:50:44
non stress,13:50:44
non stress,13:50:44
non stress,13:50:44
non stress,13:50:44
non stress,13:50:44
non stress,13:50:44
non stress,13:50:45
non stress,13:50:45
non stress,13:50:45
non stress,13:50:45
non stress,13:50:45
non stress,13:50:45
non stress,13:50:45
non stress,13:50:46
non stress,13:50:46
non stress,13:50:46
non stress,13:50:46
non stress,13:50:46
non stress,13:50:46
non stress,13:50:46
non stress,13:50:47
high stress,13:50:47
non stress,13:50:47
non stress,13:50:47
non stress,13:50:47
non stress,13:50:47
non stress,13:50:47
non stress,13:50:48
non stress,13:50:48
non stress,13:50:48
non stress,13:50:48
non stress,13:50:48
non stress,13:50:48
non stress,13:50:49
non stress,13:50:49
non stress,13:50:49
non stress,13:50:49
high stress,13:50:49
high stress,13:50:49
non stress,13:50:49
non stress,13:50:50
non stress,13:50:50
non stress,13:50:50
non stress,13:50:50
non stress,13:50:50
high stress,13:50:50
high stress,13:50:51
high stress,13:50:51
high stress,13:50:51
high stress,13:50:51
high stress,13:50:51
high stress,13:50:51
high stress,13:50:51
high stress,13:50:51
high stress,13:50:52
high stress,13:50:52
high stress,13:50:52
high stress,13:50:52
high stress,13:50:52
high stress,13:50:52
high stress,13:50:52
high stress,13:50:52
non stress,13:50:52
non stress,13:50:52
non stress,13:50:52
non stress,13:50:52
non stress,13:50:53
non stress,13:50:53
non stress,13:50:53
high stress,13:50:53
high stress,13:50:53
non stress,13:50:53
high stress,13:50:53
non stress,13:50:53
non stress,13:50:53
non stress,13:50:53
non stress,13:50:54
non stress,13:50:54
non stress,13:50:54
non stress,13:50:54
non stress,13:50:54
non stress,13:50:54
non stress,13:50:54
non stress,13:50:54
non stress,13:50:54
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:55
non stress,13:50:56
non stress,13:50:56
non stress,13:50:56
non stress,13:50:56
non stress,13:50:56
non stress,13:50:56
non stress,13:50:56
high stress,13:50:56
non stress,13:50:56
non stress,13:50:56
non stress,13:50:57
non stress,13:50:57
non stress,13:50:57
non stress,13:50:57
non stress,13:50:57
high stress,13:50:57
high stress,13:50:57
high stress,13:50:57
high stress,13:50:57
high stress,13:50:57
non stress,13:50:57
high stress,13:50:58
high stress,13:50:58
high stress,13:50:58
high stress,13:50:58
high stress,13:50:58
high stress,13:50:58
non stress,13:50:58
non stress,13:50:58
non stress,13:50:58
non stress,13:50:58
non stress,13:50:58
non stress,13:50:58
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
non stress,13:50:59
high stress,13:50:59
high stress,13:50:59
non stress,13:50:59
non stress,13:51:00
non stress,13:51:00
high stress,13:51:00
non stress,13:51:00
high stress,13:51:00
non stress,13:51:00
high stress,13:51:00
non stress,13:51:00
non stress,13:51:00
high stress,13:51:00
high stress,13:51:00
high stress,13:51:00
high stress,13:51:00
high stress,13:51:00
non stress,13:51:01
non stress,13:51:01
non stress,13:51:01
non stress,13:51:01
non stress,13:51:01
non stress,13:51:01
non stress,13:51:01
high stress,13:51:01
high stress,13:51:01
non stress,13:51:01
non stress,13:51:01
non stress,13:51:01
high stress,13:51:01
non stress,13:51:02
non stress,13:51:02
non stress,13:51:02
non stress,13:51:02
high stress,13:51:02
high stress,13:51:02
non stress,13:51:02
high stress,13:51:02
high stress,13:51:02
high stress,13:51:02
non stress,13:51:02
high stress,13:51:03
non stress,13:51:03
high stress,13:51:03
high stress,13:51:03
high stress,13:51:03
non stress,13:51:03
non stress,13:51:03
non stress,13:51:03
non stress,13:51:03
non stress,13:51:03
non stress,13:51:04
non stress,13:51:04
non stress,13:51:04
non stress,13:51:04
high stress,13:51:04
high stress,13:51:04
high stress,13:51:04
non stress,13:51:04
non stress,13:51:04
high stress,13:51:05
non stress,13:51:05
non stress,13:51:05
non stress,13:51:05
high stress,13:51:05
non stress,13:51:05
high stress,13:51:05
high stress,13:51:05
non stress,13:51:05
non stress,13:51:06
non stress,13:51:06
non stress,13:51:06
non stress,13:51:06
high stress,13:51:06
non stress,13:51:06
non stress,13:51:06
non stress,13:51:06
non stress,13:51:06
non stress,13:51:06
non stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
high stress,13:51:07
non stress,13:51:07
high stress,13:51:08
non stress,13:51:08
non stress,13:51:08
high stress,13:51:08
high stress,13:51:08
non stress,13:51:08
non stress,13:51:08
non stress,13:51:08
high stress,13:51:08
high stress,13:51:08
high stress,13:51:08
high stress,13:51:08
high stress,13:51:08
high stress,13:51:08
high stress,13:51:09
high stress,13:51:09
high stress,13:51:09
high stress,13:51:09
high stress,13:51:09
non stress,13:51:09
high stress,13:51:09
high stress,13:51:09
non stress,13:51:09
high stress,13:51:09
high stress,13:51:09
non stress,13:51:09
non stress,13:51:09
high stress,13:51:10
high stress,13:51:10
non stress,13:51:10
high stress,13:51:10
high stress,13:51:10
high stress,13:51:10
non stress,13:51:10
non stress,13:51:10
non stress,13:51:10
non stress,13:51:10
high stress,13:51:10
non stress,13:51:11
non stress,13:51:11
non stress,13:51:11
non stress,13:51:11
non stress,13:51:11
high stress,13:51:11
high stress,13:51:11
