Chunk,Operator,Text,Pitch (Hz),Jitter,Shimmer,Gender,Voice State,WPM,Avg Sentence Length,Stutters,Clarity,Timestamp
0,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:04:12
1,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:04:18
2,report1v2,333,149.6858,0.0073925024,0.8208057,Male,Normal,12.0,1.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:04:24
3,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:04:30
4,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:04:36
5,report1v2,step four,157.93777,0.02859259,1.031173,Male,Normal,24.0,2.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:04:42
6,report1v2,can you lower your chair because it's your head is facing down,119.306404,0.01909904,1.1884747,Male,Fatigue,144.0,12.0,0,Normal pace - good clarity,2025-07-24 14:04:49
7,report1v2,Francis Lewis in Columbia South Carolina,132.81796,0.011759877,1.2688981,Male,Fatigue,72.0,6.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:04:56
8,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:01
9,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:07
10,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:13
11,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:20
12,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:27
13,report1v2,Justin Timber,229.59863,0.07300134,1.2981098,Female,Normal,24.0,2.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:33
14,report1v2,High School from Japan music,164.48752,0.020147024,1.3309126,Male,Normal,60.0,5.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:41
15,report1v2,step six,151.9803,0.021445656,1.4134839,Male,Normal,24.0,2.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:47
16,report1v2,,128.10414,0.0031720637,0.92859787,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:05:53
17,report1v2,can you find the calculator gangbang,107.89543,0.02993858,1.1693252,Male,Fatigue,72.0,6.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:00
18,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:05
19,report1v2,how's the temperature outside,124.965645,0.019031424,1.9884408,Male,Fatigue,48.0,4.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:12
20,report1v2,,114.97968,0.010675115,1.6345209,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:19
21,report1v2,,113.55346,0.017653896,1.3649694,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:26
22,report1v2,,102.43517,0.011275377,0.6859992,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:32
23,report1v2,,105.65083,0.011927414,1.4619243,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:39
24,report1v2,,93.101105,0.004573848,1.4339367,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:45
25,report1v2,step,140.10156,0.016816594,1.3116447,Male,Normal,12.0,1.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:52
26,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:06:58
27,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:04
28,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:10
29,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:16
30,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:22
31,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:28
32,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:34
33,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:40
34,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:45
35,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:51
36,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:07:57
37,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:03
38,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:09
39,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:15
40,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:21
41,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:27
42,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:32
43,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:39
44,report1v2,,146.97107,0.027073558,1.399226,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:45
45,report1v2,do you know somebody's temperature today at 4:00,27.5,0.0,0.0,Male,Normal,96.0,8.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:52
46,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:08:58
47,report1v2,turn the thermostat off,27.5,0.0,0.0,Male,Normal,48.0,4.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:05
48,report1v2,,142.66011,0.17173022,1.0084479,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:11
49,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:17
50,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:23
51,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:29
52,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:34
53,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:40
54,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:46
55,report1v2,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 14:09:52
