Moved to (1533, 0) at 1752601119.16
Moved to (1532, 0) at 1752601119.17
Moved to (1535, -1) at 1752601144.91
Moved to (1537, -1) at 1752601144.92
Moved to (1541, -3) at 1752601144.92
Moved to (1547, -2) at 1752601144.92
Moved to (1555, -5) at 1752601144.93
Moved to (1563, -7) at 1752601144.93
Moved to (1574, -7) at 1752601144.94
Moved to (1584, -7) at 1752601144.94
Moved to (1597, -7) at 1752601144.94
Moved to (1609, -6) at 1752601144.95
Moved to (1624, -3) at 1752601144.95
Moved to (1643, -2) at 1752601144.95
Moved to (1657, -2) at 1752601144.96
Moved to (1673, 0) at 1752601144.96
Moved to (1690, 1) at 1752601144.97
Moved to (1709, 5) at 1752601144.97
Moved to (1723, 8) at 1752601144.97
Moved to (1738, 12) at 1752601144.98
Moved to (1748, 17) at 1752601144.98
Moved to (1759, 22) at 1752601144.99
Moved to (1764, 25) at 1752601144.99
Moved to (1770, 28) at 1752601144.99
Moved to (1774, 31) at 1752601145.00
Moved to (1778, 33) at 1752601145.00
Moved to (1780, 34) at 1752601145.01
Moved to (1783, 37) at 1752601145.01
Moved to (1785, 38) at 1752601145.01
Moved to (1789, 39) at 1752601145.02
Moved to (1793, 41) at 1752601145.02
Moved to (1797, 42) at 1752601145.03
Moved to (1801, 43) at 1752601145.03
Moved to (1806, 43) at 1752601145.03
Moved to (1810, 43) at 1752601145.04
Moved to (1815, 43) at 1752601145.04
Moved to (1820, 45) at 1752601145.05
Moved to (1825, 45) at 1752601145.05
Moved to (1831, 45) at 1752601145.05
Moved to (1836, 46) at 1752601145.06
Moved to (1841, 46) at 1752601145.06
Moved to (1846, 46) at 1752601145.07
Moved to (1852, 46) at 1752601145.07
Moved to (1859, 46) at 1752601145.07
Moved to (1866, 46) at 1752601145.08
Moved to (1873, 46) at 1752601145.08
Moved to (1881, 47) at 1752601145.09
Moved to (1888, 47) at 1752601145.09
Moved to (1893, 49) at 1752601145.09
Moved to (1899, 50) at 1752601145.10
Moved to (1904, 51) at 1752601145.10
Moved to (1908, 51) at 1752601145.11
Moved to (1913, 51) at 1752601145.11
Moved to (1917, 51) at 1752601145.11
Moved to (1921, 53) at 1752601145.12
Moved to (1924, 53) at 1752601145.12
Moved to (1923, 53) at 1752601145.13
Moved to (1922, 53) at 1752601145.13
Moved to (1925, 53) at 1752601145.13
Moved to (1924, 53) at 1752601145.14
Moved to (1926, 52) at 1752601145.14
Moved to (1927, 51) at 1752601145.14
Moved to (1924, 49) at 1752601145.15
Moved to (1925, 48) at 1752601145.15
Moved to (1924, 47) at 1752601145.16
Moved to (1924, 45) at 1752601145.16
Moved to (1925, 43) at 1752601145.16
Moved to (1923, 41) at 1752601145.17
Moved to (1921, 40) at 1752601145.17
Moved to (1920, 39) at 1752601145.18
Moved to (1920, 38) at 1752601145.18
Moved to (1920, 37) at 1752601145.19
