frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,nose_z,shoulder_diff,head_forward,posture,bad_posture_streak,depth_change,movement_status
5,0.7659893035888672,0.7671135067939758,0.16803929209709167,0.9523905515670776,0.37275421619415283,0.7287521362304688,-2.610872268676758,0.1852770447731018,-0.0942600816488266,Bad - Slouching,1,0,Stable
6,0.7650978565216064,0.7554669976234436,0.16933748126029968,0.9522132873535156,0.35755228996276855,0.7203136682510376,-2.0423009395599365,0.19674628973007202,-0.10966537892818451,Bad - Slouching,2,0.28428566455841064,Significant Depth Movement
7,0.7623473405838013,0.7587082982063293,0.15736529231071472,0.9591532945632935,0.34026414155960083,0.744705319404602,-2.3159236907958984,0.2004449963569641,-0.11959217488765717,Bad - Slouching,3,0.0035543044408163915,Stable
8,0.7531276941299438,0.7589060664176941,0.15413272380828857,0.9617764353752136,0.33927303552627563,0.7515947818756104,-2.2360777854919434,0.20287036895751953,-0.11435717344284058,Bad - Slouching,4,0.021738628546396743,Stable
9,0.7541793584823608,0.7782919406890869,0.15072399377822876,0.9636908769607544,0.32721957564353943,0.7622424364089966,-2.1946816444396973,0.18539893627166748,-0.12523210048675537,Bad - Slouching,5,0.021322405338287442,Stable
10,0.7618921995162964,0.777425229549408,0.1536804586648941,0.9654211401939392,0.34722092747688293,0.7449578046798706,-2.2914206981658936,0.18799591064453125,-0.11056540161371231,Bad - Slouching,6,0.06389031410217294,Stable
11,0.7758984565734863,0.7680103778839111,0.18183965981006622,0.9606602191925049,0.37855908274650574,0.6788974404335022,-1.5905817747116089,0.19264984130859375,-0.10030997544527054,Bad - Slouching,7,0.09034383296966553,Stable
12,0.7837952375411987,0.7547933459281921,0.1893894076347351,0.960085928440094,0.39363256096839905,0.6487234234809875,-1.789269208908081,0.20529258251190186,-0.09295976161956787,Bad - Slouching,8,0.10533089637756321,Significant Depth Movement
13,0.7872171401977539,0.748440146446228,0.1919541358947754,0.9611286520957947,0.404960960149765,0.6345736384391785,-1.7472822666168213,0.21268850564956665,-0.08462467789649963,Bad - Slouching,9,0.0977591037750245,Stable
14,0.8038517236709595,0.7500515580177307,0.20828434824943542,0.9623183012008667,0.4964374005794525,0.6459426879882812,-2.4789681434631348,0.212266743183136,-0.009630635380744934,Bad - Slouching,10,0.056857299804687456,Stable
15,0.8056297302246094,0.7504454851150513,0.23813554644584656,0.9423909783363342,0.4985014498233795,0.6504226922988892,-2.3127329349517822,0.19194549322128296,-0.02338118851184845,Bad - Slouching,11,0.004262447357177734,Stable
16,0.8408105969429016,0.750834047794342,0.3424994647502899,0.8399856686592102,0.589627742767334,0.6164667010307312,-1.8828275203704834,0.08915162086486816,-0.00202728807926178,Bad - Slouching,12,0.058449149131775124,Stable
17,0.85417640209198,0.7496072053909302,0.40975332260131836,0.7343913316726685,0.7191739082336426,0.5043643712997437,-1.336641550064087,0.015215873718261719,0.08720904588699341,Bad - Forward Head,13,0.09052553176879896,Stable
18,0.8580897450447083,0.7521884441375732,0.4202095866203308,0.7403107285499573,0.6923151016235352,0.5460134744644165,-1.724609136581421,0.011877715587615967,0.053165435791015625,Bad - Forward Head,14,0.004534626007080211,Stable
19,0.8520404100418091,0.7406753897666931,0.4316391944885254,0.7293845415115356,0.6684362292289734,0.5669244527816772,-1.7006909847259521,0.01129084825515747,0.026596426963806152,Good,0,0.15565543174743635,Significant Depth Movement
20,0.8734663724899292,0.7565262913703918,0.4462248384952545,0.7249775528907776,0.7672745585441589,0.6080294251441956,-2.2275898456573486,0.03154873847961426,0.10742895305156708,Bad - Forward Head,1,0.017028617858886763,Stable
21,0.8850623369216919,0.7575012445449829,0.4529472291469574,0.7109810709953308,0.7723478078842163,0.6368593573570251,-2.2205615043640137,0.0465201735496521,0.10334302484989166,Bad - Forward Head,2,0.06754679679870601,Stable
