frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,nose_z,shoulder_diff,head_forward,posture,bad_posture_streak,depth_change,movement_status
1,0.7857087850570679,0.8427689671516418,0.19238367676734924,0.7884634137153625,0.39495912194252014,0.543969988822937,-1.3492763042449951,0.0543055534362793,-0.09408710896968842,Bad - Slouching,1,0,Stable
2,0.7859679460525513,0.8430368304252625,0.19011136889457703,0.7893631458282471,0.3919651508331299,0.5358884334564209,-0.9546570777893066,0.05367368459701538,-0.09607450664043427,Bad - Slouching,2,0.19730961322784424,Significant Depth Movement
3,0.7862109541893005,0.8434461355209351,0.18955865502357483,0.7893238067626953,0.3901006281375885,0.5314754247665405,-0.972969651222229,0.054122328758239746,-0.09778417646884918,Bad - Slouching,3,0.059665679931640625,Stable
4,0.7865657806396484,0.8436051607131958,0.18896251916885376,0.790686845779419,0.38926365971565247,0.5291495323181152,-1.072676420211792,0.052918314933776855,-0.09850049018859863,Bad - Slouching,4,0.004906147718429565,Stable
5,0.7866259813308716,0.843638002872467,0.18519321084022522,0.7926127910614014,0.38880404829978943,0.525870144367218,-1.1107584238052368,0.051025211811065674,-0.09710554778575897,Bad - Slouching,5,0.004672712087631314,Stable
6,0.787584662437439,0.8450255990028381,0.18279725313186646,0.7940505743026733,0.38821515440940857,0.5224080085754395,-0.9926222562789917,0.050975024700164795,-0.09697580337524414,Bad - Slouching,6,0.07133080959320082,Stable
7,0.787628173828125,0.8452830910682678,0.17568111419677734,0.7948276400566101,0.38810330629348755,0.5186673402786255,-0.9926241636276245,0.050455451011657715,-0.09355133771896362,Bad - Slouching,7,0.0075934171676637074,Stable
8,0.7878674864768982,0.8454909920692444,0.1759571135044098,0.794468879699707,0.38810068368911743,0.5180221796035767,-0.9783899188041687,0.051022112369537354,-0.09381161630153656,Bad - Slouching,8,0.0010840535163878506,Stable
9,0.7886654138565063,0.8460621237754822,0.1739211082458496,0.7946440577507019,0.3880871534347534,0.5167962908744812,-0.988941490650177,0.05141806602478027,-0.09320610761642456,Bad - Slouching,9,0.016746985912323042,Stable
10,0.7893838286399841,0.846847653388977,0.17062079906463623,0.7954486012458801,0.3881302773952484,0.515200138092041,-0.985202968120575,0.051399052143096924,-0.09187203645706177,Bad - Slouching,10,0.02511109113693233,Stable
11,0.79025799036026,0.8483446836471558,0.16987580060958862,0.7972109317779541,0.3881317973136902,0.5143647193908691,-1.007744550704956,0.05113375186920166,-0.09193509817123413,Bad - Slouching,11,0.003024458885192871,Stable
12,0.7902672290802002,0.8480279445648193,0.16892632842063904,0.7973324060440063,0.3881438374519348,0.5139372944831848,-0.9600812792778015,0.05069553852081299,-0.0914529412984848,Bad - Slouching,12,0.006508576869964644,Stable
13,0.7899014353752136,0.8485704064369202,0.169294074177742,0.797336220741272,0.38812071084976196,0.5135600566864014,-0.9840908050537109,0.05123418569564819,-0.09147704392671585,Bad - Slouching,13,0.0011401772499084473,Stable
14,0.78968346118927,0.8488123416900635,0.16848021745681763,0.7985337376594543,0.3880764842033386,0.5133180022239685,-0.9931049346923828,0.05027860403060913,-0.0910053551197052,Bad - Slouching,14,0.0008326888084412287,Stable
15,0.7896038293838501,0.8483400940895081,0.16859106719493866,0.7985168099403381,0.38779351115226746,0.5133273601531982,-0.921892523765564,0.04982328414916992,-0.09130393713712692,Good,0,0.012662088871002175,Stable
16,0.7895841002464294,0.8485163450241089,0.1686781644821167,0.7985092401504517,0.3877268433570862,0.5132160186767578,-0.9408499598503113,0.05000710487365723,-0.09140428900718689,Bad - Slouching,1,0.013378918170928955,Stable
17,0.7895401120185852,0.8485299944877625,0.16875074803829193,0.7988856434822083,0.3877353072166443,0.5132013559341431,-0.9509153366088867,0.0496443510055542,-0.09141012281179428,Good,0,0.0018331885337830034,Stable
18,0.789512038230896,0.8491632342338562,0.16880452632904053,0.798949658870697,0.38744044303894043,0.5131421685218811,-0.9576735496520996,0.05021357536315918,-0.09171783924102783,Bad - Slouching,1,0.005283451080322243,Stable
19,0.7897491455078125,0.8491619825363159,0.16885095834732056,0.7992396950721741,0.38730406761169434,0.5129733085632324,-0.9356895685195923,0.049922287464141846,-0.09199598431587219,Good,0,0.011483073234558105,Stable
20,0.7897533178329468,0.8504270315170288,0.16813769936561584,0.8005344867706299,0.38694825768470764,0.5128580927848816,-0.9460609555244446,0.049892544746398926,-0.09199725091457367,Good,0,0.004833686351776056,Stable
21,0.7898982763290405,0.8503971695899963,0.16816148161888123,0.8008984327316284,0.38649502396583557,0.512800395488739,-0.8980267643928528,0.04949873685836792,-0.0925348550081253,Good,0,0.008564639091491633,Stable
22,0.7898958921432495,0.8504402041435242,0.16819190979003906,0.800912618637085,0.38645705580711365,0.5125649571418762,-0.899499773979187,0.04952758550643921,-0.09258684515953064,Good,0,0.010283112525939941,Stable
23,0.7897459268569946,0.850691556930542,0.16717016696929932,0.8011133670806885,0.3864193558692932,0.512624979019165,-0.8904780149459839,0.049578189849853516,-0.09203869104385376,Good,0,0.013439106941223189,Stable
24,0.7897336483001709,0.8510738611221313,0.16682882606983185,0.8011295795440674,0.38636529445648193,0.512624979019165,-0.8905947804450989,0.049944281578063965,-0.09191594272851944,Good,0,0.009018957614898682,Stable
25,0.789677619934082,0.8510739803314209,0.1662476807832718,0.8014692664146423,0.3864423930644989,0.5122212767601013,-0.9126557111740112,0.049604713916778564,-0.09152025729417801,Good,0,0.006681048870086692,Stable
26,0.7899850010871887,0.8517499566078186,0.16631589829921722,0.8015803098678589,0.3861144185066223,0.5121470093727112,-0.9157525300979614,0.05016964673995972,-0.09203603118658066,Bad - Slouching,1,0.003545153141021773,Stable
27,0.789986252784729,0.8521506190299988,0.16609427332878113,0.8020839095115662,0.386076956987381,0.5121152400970459,-0.9279147386550903,0.05006670951843262,-0.09196330606937408,Bad - Slouching,2,0.0056829929351807085,Stable
28,0.7899333238601685,0.8507556915283203,0.1661440134048462,0.8020147681236267,0.3858746886253357,0.5126946568489075,-0.9219985008239746,0.048740923404693604,-0.09216398000717163,Good,0,0.0063040971755981,Stable
29,0.7899331450462341,0.850905179977417,0.16755037009716034,0.8019821047782898,0.38585859537124634,0.512931764125824,-0.9245259165763855,0.0489230751991272,-0.0928831622004509,Good,0,0.006786227226257324,Stable
30,0.7898791432380676,0.8509497046470642,0.16801610589027405,0.8019805550575256,0.38584399223327637,0.5136056542396545,-0.9678252339363098,0.048969149589538574,-0.09310363233089447,Good,0,0.011033904552459672,Stable
31,0.7899448871612549,0.8508094549179077,0.16977420449256897,0.8010963201522827,0.38574281334877014,0.5139662623405457,-0.953811764717102,0.049713134765625,-0.09411673247814178,Good,0,0.007611846923828214,Stable
32,0.7899606227874756,0.8515344262123108,0.1697847843170166,0.8007845282554626,0.38572683930397034,0.5140070915222168,-0.9878371357917786,0.050749897956848145,-0.09414586424827576,Bad - Slouching,1,0.011984479427337602,Stable
33,0.789948582649231,0.8518840670585632,0.1697397530078888,0.800054669380188,0.3856976628303528,0.5142548084259033,-0.9817522168159485,0.051829397678375244,-0.09414650499820709,Bad - Slouching,2,0.011950743198394731,Stable
34,0.7898421883583069,0.8525674939155579,0.16951803863048553,0.7995355725288391,0.3856779932975769,0.5144904255867004,-1.0000041723251343,0.05303192138671875,-0.0940021201968193,Bad - Slouching,3,0.015095651149749756,Stable
35,0.7904683351516724,0.852568507194519,0.16909731924533844,0.7995482087135315,0.38570940494537354,0.5145431756973267,-1.0319358110427856,0.05302029848098755,-0.09407342225313187,Bad - Slouching,4,0.012822115421295188,Stable
36,0.7901273965835571,0.8523972034454346,0.16910907626152039,0.7992472052574158,0.3858504593372345,0.515250563621521,-1.1225297451019287,0.0531499981880188,-0.09376777708530426,Bad - Slouching,5,0.03374359607696531,Stable
37,0.7905592918395996,0.8522927761077881,0.16842684149742126,0.7995636463165283,0.38636937737464905,0.5160216689109802,-0.9960306286811829,0.052729129791259766,-0.09312368929386139,Bad - Slouching,6,0.0016386985778809038,Stable
38,0.7906147837638855,0.8508173823356628,0.16841885447502136,0.799339234828949,0.38684481382369995,0.5165069103240967,-1.0548474788665771,0.05147814750671387,-0.09267200529575348,Bad - Slouching,7,0.014619052410125732,Stable
39,0.7906178832054138,0.8508099317550659,0.16850748658180237,0.7993423938751221,0.38693326711654663,0.51645427942276,-1.1910841464996338,0.05146753787994385,-0.09262941777706146,Bad - Slouching,8,0.0382159948348999,Stable
40,0.7906438708305359,0.8507594466209412,0.16847363114356995,0.7971750497817993,0.38709163665771484,0.5174900889396667,-1.0763673782348633,0.053584396839141846,-0.09246711432933807,Bad - Slouching,9,0.008886313438415616,Stable
41,0.7911573648452759,0.8505259156227112,0.16932471096515656,0.7965967655181885,0.38717302680015564,0.5173276662826538,-1.0599291324615479,0.053929150104522705,-0.09306801110506058,Bad - Slouching,10,0.012520122528076216,Stable
42,0.7911633253097534,0.8498965501785278,0.1694653034210205,0.795255720615387,0.38735488057136536,0.5172992944717407,-1.05757474899292,0.05464082956314087,-0.0929594337940216,Bad - Slouching,11,0.012308824062347457,Stable
43,0.7929039001464844,0.8498450517654419,0.17186442017555237,0.7949603796005249,0.38689082860946655,0.5172349810600281,-0.946241557598114,0.05488467216491699,-0.09549333155155182,Bad - Slouching,12,0.021721184253692627,Stable
44,0.792863667011261,0.8492668867111206,0.1736052930355072,0.7934961915016174,0.3846919536590576,0.5165132284164429,-0.9089668393135071,0.055770695209503174,-0.09854252636432648,Bad - Slouching,13,0.05642346143722543,Stable
45,0.7928066849708557,0.8487682342529297,0.17469415068626404,0.7923358678817749,0.3833514153957367,0.5158897042274475,-0.9066711664199829,0.056432366371154785,-0.10039900243282318,Bad - Slouching,14,0.033939242362976074,Stable
