timestamp,heart_rate,eeg_signal,room_temp,face_emotion,task,light_temp,light_intensity,humidity,pressure
2025-07-04 05:45:04.202817,106,theta-dominant,25.7,sad,Emergency Shutdown,6053.6,300.7,39.8,997.4
2025-07-04 05:45:34.202817,92,theta-dominant,23.3,sad,Emergency Shutdown,5152.0,1036.5,44.8,1004.7
2025-07-04 05:46:04.202817,102,theta-dominant,23.3,sad,Emergency Shutdown,4260.0,638.4,53.6,990.4
2025-07-04 05:46:34.202817,105,theta-dominant,22.4,sad,Emergency Shutdown,5363.1,663.5,60.8,1020.4
2025-07-04 05:47:04.202817,98,theta-dominant,25.1,sad,Emergency Shutdown,5659.0,1112.2,59.2,1006.8
2025-07-04 05:47:34.202817,101,theta-dominant,28.9,sad,Emergency Shutdown,4674.0,757.8,53.8,993.8
2025-07-04 05:48:04.202817,94,theta-dominant,26.4,sad,Emergency Shutdown,4852.0,1166.6,43.6,1007.8
2025-07-04 05:48:34.202817,110,theta-dominant,23.0,sad,Emergency Shutdown,6151.1,397.4,60.0,992.1
2025-07-04 05:49:04.202817,98,theta-dominant,22.5,sad,Emergency Shutdown,6367.6,1122.4,67.1,1012.9
2025-07-04 05:49:34.202817,109,theta-dominant,28.5,sad,Emergency Shutdown,5727.9,904.4,49.5,971.2
2025-07-04 05:50:04.202817,109,theta-dominant,29.9,sad,Emergency Shutdown,4668.4,387.7,69.7,1027.9
2025-07-04 05:50:34.202817,104,theta-dominant,26.6,sad,Emergency Shutdown,5509.7,685.5,68.6,999.3
