Chunk,Operator,Text,Pitch (Hz),Jitter,Shimmer,Gender,Voice State,WPM,Avg Sentence Length,Stutters,Clarity,Timestamp
0,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:42:56
1,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:01
2,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:07
3,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:13
4,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:19
5,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:25
6,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:31
7,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:37
8,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:42
9,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:48
10,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:43:54
11,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:00
12,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:06
13,report1,level four,150.07765,0.0123820435,1.1000721,Male,Normal,24.0,2.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:12
14,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:18
15,report1,step five,147.38771,0.013355651,0.97930014,Male,Normal,24.0,2.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:24
16,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:30
17,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:35
18,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:41
19,report1,,148.12001,0.020304522,1.3353686,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:47
20,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:53
21,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:44:59
22,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:06
23,report1,volume 25% volume,27.5,0.0,0.0,Male,Normal,36.0,3.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:13
24,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:19
25,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:26
26,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:32
27,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:38
28,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:44
29,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:50
30,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:45:56
31,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:02
32,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:08
33,report1,enough,27.5,0.0,0.0,Male,Normal,12.0,1.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:14
34,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:20
35,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:27
36,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:33
37,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:39
38,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:45
39,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:52
40,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:46:57
41,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:04
42,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:09
43,report1,turn on Bluetooth,27.5,0.0,0.0,Male,Normal,36.0,3.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:16
44,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:22
45,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:29
46,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:35
47,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:40
48,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:46
49,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:52
50,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:47:59
51,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:05
52,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:11
53,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:16
54,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:22
55,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:28
56,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:34
57,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:40
58,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:47
59,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:53
60,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:48:58
61,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:04
62,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:10
63,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:16
64,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:22
65,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:28
66,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:34
67,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:39
68,report1,all right stop,134.81696,0.0150989,1.0097914,Male,Fatigue,36.0,3.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:45
69,report1,volume three,27.5,0.0,0.0,Male,Normal,24.0,2.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:52
70,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:49:58
71,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:04
72,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:09
73,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:15
74,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:21
75,report1,,111.65649,0.012708791,1.4418246,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:28
76,report1,,127.89231,0.035857983,0.7521338,Male,Fatigue,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:34
77,report1,,27.5,0.0,0.0,Male,Normal,0.0,0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:40
78,report1,OK Google,27.5,0.0,0.0,Male,Normal,24.0,2.0,0,Too slow - possible hesitation or mental fatigue,2025-07-24 13:50:47
